,Name,Event,Price,Predicted_Score,Team
0,Helen Hu,BB,6250.0,9.906525,Missouri
1,Marissa Neal,BB,1000.0,9.902147,Auburn
2,Isabella Magnelli,BB,6250.0,9.901265,Kentucky
3,Jade Carey,BB,6250.0,9.899093,Oregon State
4,Haleigh Bryant,BB,4000.0,9.84735,LSU
5,Marissa Neal,BB,1000.0,9.902147,Auburn
6,Jordan Bowers,FX,6250.0,9.915729,Oklahoma
7,Faith Torrez,FX,6250.0,9.915729,Oklahoma
8,Skylar Killough-Wilhelm,FX,1000.0,9.810405,Kentucky
9,Rachel Rybicki,FX,1000.0,9.833362,Alabama
10,Paige Zancan,FX,1000.0,9.814199,Auburn
11,Rachel Rybicki,FX,1000.0,9.833362,Alabama
12,Mara Titarsolej,UB,6250.0,9.894487,Missouri
13,Grace McCallum,UB,6250.0,9.903565,Utah
14,Leanne Wong,UB,6250.0,9.899093,Florida
15,Ui Soma,UB,1000.0,9.852154,Stanford
16,Audrey Davis,UB,6250.0,9.908852,Oklahoma
17,Lali Dekanoidze,UB,6250.0,9.8962345,North Carolina
18,Haleigh Bryant,VT,6250.0,9.899093,LSU
19,Elle Mueller,VT,4000.0,9.863823,Oklahoma
20,Ady Wahl,VT,3000.0,9.842274,Georgia
21,Gabby Disidore,VT,1000.0,9.82999,Florida
22,Rosie Casali,VT,1000.0,9.825793,Denver
23,Gabby Disidore,VT,1000.0,9.82999,Florida
