Name,Event,Price,Team,Predicted_Score,GymnastID,Score
Isabella Magnelli,BB,6250.0,Kentucky,9.901543,30922,9.925
Lilly Hudson,BB,1000.0,Alabama,9.798924,31247,9.85
Kayla Lee,BB,1000.0,Arizona State,9.802275,31813,9.85
Addison Lawrence,BB,1000.0,Missouri,9.804844,31964,9.9
Abbey Scanlon,BB,1000.0,California,9.815956,31295,9.9
Jordan Bowers,FX,6250.0,Oklahoma,9.907043,31428,9.925
Faith Torrez,FX,6250.0,Oklahoma,9.906635,31989,9.95
Mya Lauzon,FX,6250.0,California,9.904045,31294,9.95
Hailey Davis,FX,6250.0,Kentucky,9.901543,30921,9.8
Brooklyn Moors,FX,6250.0,UCLA,9.899231,31087,9.95
Skylar Killough-Wilhelm,FX,1000.0,Kentucky,9.819447,31101,9.85
Cally Swaney,UB,1000.0,Arkansas,9.797312,31822,9.725
Isabella Rivelli,UB,1000.0,Kentucky,9.802469,31845,9.775
Emma Malabuyo,UB,1000.0,UCLA,9.807971,31516,9.725
Annalise Newman-Achee,UB,1000.0,California,9.816582,32652,9.85
Kimberly Smith,UB,3000.0,Arizona State,9.830363,31815,9.75
Ui Soma,UB,1000.0,Stanford,9.832598,33182,9.875
Kailin Chio,VT,6250.0,LSU,9.894543,33047,9.875
Selena Harris-Miranda,VT,6250.0,Florida,9.892838,32075,10.0
Leanne Wong,VT,6250.0,Florida,9.887532,31328,9.925
Nikki Smith,VT,6250.0,Michigan State,9.887532,31955,9.85
Faith Torrez,VT,6250.0,Oklahoma,9.885256,31989,9.875
Corinne Bunagan,VT,2000.0,Alabama,9.823359,31245,9.85
