Player Name,Team,Event,Price
Aleah Finnegan,LSU (SEC),VT,6250.0
Faith Torrez,Oklahoma (SEC),VT,6250.0
Haleigh Bryant,LSU (SEC),VT,6250.0
Isabella Magnelli,Kentucky (SEC),VT,6250.0
Jade Carey,Oregon State (Pac-12),VT,6250.0
Jerquavia Henderson,Iowa (Big Ten),VT,6250.0
Jordan Bowers,Oklahoma (SEC),VT,6250.0
Jordan Chiles,UCLA (Big Ten),VT,6250.0
Kailin Chio,LSU (SEC),VT,6250.0
Kayla DiCello,Florida (SEC),VT,6250.0
Keira Wells,Oklahoma (SEC),VT,6250.0
Kyra Burns,Missouri (SEC),VT,6250.0
Leanne Wong,Florida (SEC),VT,6250.0
Makenna Smith,Utah (Big 12),VT,6250.0
Nikki Smith,Michigan State (Big Ten),VT,6250.0
Sage Kellerman,Michigan State (Big Ten),VT,6250.0
Selena Harris-Miranda,Florida (SEC),VT,6250.0
Suki Pfister,Ball State (MAC),VT,6250.0
Amari Drayton,LSU (SEC),VT,5000.0
Anna Flynn Cashion,Kentucky (SEC),VT,5000.0
Anna Roberts,Stanford (ACC),VT,5000.0
Ashley Glynn,Utah (Big 12),VT,5000.0
Ashley Knight,NC State (ACC),VT,5000.0
Audrey Davis,Oklahoma (SEC),VT,5000.0
Ava Piedrahita,Penn State (Big Ten),VT,5000.0
Ava Siegfeldt,Oklahoma (SEC),VT,5000.0
Avery Neff,Utah (Big 12),VT,5000.0
Bri Edwards,Florida (SEC),VT,5000.0
Chae Campbell,UCLA (Big Ten),VT,5000.0
Elise Tisler,Missouri (SEC),VT,5000.0
Hailey Klein,Arkansas (SEC),VT,5000.0
Hannah Scheible,Oklahoma (SEC),VT,5000.0
Jillian Procasky,Kentucky (SEC),VT,5000.0
KJ Johnson,LSU (SEC),VT,5000.0
Karina Munoz,Iowa (Big Ten),VT,5000.0
Katelyn Rosen,UCLA (Big Ten),VT,5000.0
Kylee Kvamme,Alabama (SEC),VT,5000.0
Lauren Rutherford,Clemson (ACC),VT,5000.0
Lauren Williams,Arkansas (SEC),VT,5000.0
Leah Smith,Arkansas (SEC),VT,5000.0
Lilly Hudson,Alabama (SEC),VT,5000.0
Lily Bruce,Florida (SEC),VT,5000.0
Lily Pederson,Oklahoma (SEC),VT,5000.0
Makenzie Wilson,Kentucky (SEC),VT,5000.0
Mya Hooten,Minnesota (Big Ten),VT,5000.0
Mya Lauzon,California (ACC),VT,5000.0
Natalie Martin,Maryland (Big Ten),VT,5000.0
Olivia Zsarmani,Michigan State (Big Ten),VT,5000.0
Paige Zancan,Auburn (SEC),VT,5000.0
Reyna Guggino,Michigan (Big Ten),VT,5000.0
Riley Jenkins,UCLA (Big Ten),VT,5000.0
Rylee Guevara,Ohio State (Big Ten),VT,5000.0
Taylor Clark,Florida (SEC),VT,5000.0
Zoe Johnson,Utah (Big 12),VT,5000.0
