GymnastID,Name,Team_x,Event,week1_score,week2_score,week3_score,week4_score,week5_score,week6_score,week7_score,week8_score,average_score,high_score,low_score,Team_y,Price
32645,maggie slife,Air Force,BB,,9.775,9.725,9.85,9.725000000000001,9.7,,9.85,9.770833333333334,9.85,9.7,Air Force (Mountain West),1000.0
32645,maggie slife,Air Force,FX,,9.85,9.9,9.9,9.85,9.925,,9.875,9.883333333333333,9.925,9.85,Air Force (Mountain West),5000.0
32645,maggie slife,Air Force,UB,,9.825,9.85,9.825,9.825,9.925,,9.85,9.85,9.925,9.825,Air Force (Mountain West),4000.0
32645,maggie slife,Air Force,VT,,9.725,9.8,9.8,9.875,9.675,,9.75,9.770833333333334,9.875,9.675,Air Force (Mountain West),2000.0
30804,shania adams,Alabama,BB,,,9.275,9.875,9.75,,,,9.633333333333333,9.875,9.275,Alabama (SEC),4000.0
30804,shania adams,Alabama,FX,,9.925,9.8,9.85,9.85,9.875,9.825,9.9,9.860714285714286,9.925,9.8,Alabama (SEC),4000.0
30804,shania adams,Alabama,UB,,,,,,,9.8,9.9,9.850000000000001,9.9,9.8,Alabama (SEC),5000.0
30804,shania adams,Alabama,VT,,,,9.8,,9.75,,,9.775,9.8,9.75,Alabama (SEC),1000.0
31245,corinne bunagan,Alabama,BB,,9.85,9.65,9.825,9.85,9.7,,9.875,9.791666666666666,9.875,9.65,Alabama (SEC),1000.0
31245,corinne bunagan,Alabama,VT,,9.425,9.85,9.6,9.825,9.925,9.9,9.575,9.728571428571428,9.925,9.425,Alabama (SEC),2000.0
32923,ryan fuller,Alabama,BB,,,,,,,,9.825,9.825,9.825,9.825,Alabama (SEC),2000.0
32923,ryan fuller,Alabama,FX,,9.75,9.75,,,,,,9.75,9.75,9.75,Alabama (SEC),2000.0
32923,ryan fuller,Alabama,UB,,9.85,9.925,9.8,9.775,9.875,9.925,9.9,9.864285714285716,9.925,9.775,Alabama (SEC),4000.0
31794,karis german,Alabama,FX,,,9.675,,,,,,9.675,9.675,9.675,Alabama (SEC),1000.0
31794,karis german,Alabama,VT,,9.725,9.6,9.775,9.725,9.85,,,9.735,9.85,9.6,Alabama (SEC),4000.0
31795,gabby gladieux,Alabama,BB,,9.85,9.9,9.8,9.625,9.875,9.225,9.925,9.742857142857144,9.925,9.225,Alabama (SEC),1000.0
31795,gabby gladieux,Alabama,FX,,9.95,9.9,9.95,9.9,9.975,9.95,9.95,9.939285714285715,9.975,9.9,Alabama (SEC),6250.0
31795,gabby gladieux,Alabama,UB,,9.85,9.825,9.775,9.85,9.8,9.8,9.875,9.825000000000001,9.875,9.775,Alabama (SEC),3000.0
31795,gabby gladieux,Alabama,VT,,9.925,9.8,9.875,9.85,9.775,9.85,9.8,9.839285714285714,9.925,9.775,Alabama (SEC),4000.0
31247,lilly hudson,Alabama,BB,,9.9,9.85,9.85,9.775,9.9,9.275,9.875,9.775000000000002,9.9,9.275,Alabama (SEC),1000.0
31247,lilly hudson,Alabama,FX,,9.9,9.875,8.95,9.875,9.9,10.0,9.95,9.778571428571427,10.0,8.95,Alabama (SEC),6250.0
31247,lilly hudson,Alabama,UB,,9.875,9.8,9.775,9.85,9.9,9.775,9.9,9.839285714285714,9.9,9.775,Alabama (SEC),4000.0
31247,lilly hudson,Alabama,VT,,9.875,9.925,9.875,9.85,9.875,9.9,9.9,9.885714285714286,9.925,9.85,Alabama (SEC),5000.0
32924,kylee kvamme,Alabama,BB,,9.65,9.1,,,,9.85,,9.533333333333333,9.85,9.1,Alabama (SEC),2000.0
32924,kylee kvamme,Alabama,VT,,9.775,9.9,,,,9.8,9.775,9.8125,9.9,9.775,Alabama (SEC),5000.0
32306,chloe lacoursiere,Alabama,BB,,9.8,9.875,9.825,9.775,9.85,9.875,9.85,9.835714285714285,9.875,9.775,Alabama (SEC),4000.0
32306,chloe lacoursiere,Alabama,FX,,,,9.75,9.85,9.825,9.8,9.9,9.825,9.9,9.75,Alabama (SEC),5000.0
32306,chloe lacoursiere,Alabama,UB,,9.825,9.875,9.85,9.8,9.9,9.9,9.7,9.835714285714287,9.9,9.7,Alabama (SEC),4000.0
32306,chloe lacoursiere,Alabama,VT,,,,,9.75,,,,9.75,9.75,9.75,Alabama (SEC),4000.0
32307,gabby ladanyi,Alabama,BB,,9.825,,9.825,9.875,9.475,9.7,,9.74,9.875,9.475,Alabama (SEC),1000.0
31248,jordyn paradise,Alabama,UB,,9.8,9.75,9.85,,,,,9.8,9.85,9.75,Alabama (SEC),1000.0
31248,jordyn paradise,Alabama,VT,,9.775,9.875,9.75,9.85,9.7,9.85,9.8,9.799999999999999,9.875,9.7,Alabama (SEC),3000.0
32004,natalia pawlak,Alabama,UB,,,,,9.825,9.775,,,9.8,9.825,9.775,Alabama (SEC),4000.0
31799,rachel rybicki,Alabama,BB,,,,,,9.8,9.85,9.85,9.833333333333334,9.85,9.8,Alabama (SEC),1000.0
31799,rachel rybicki,Alabama,FX,,9.9,9.7,9.575,,9.875,9.9,9.9,9.808333333333332,9.9,9.575,Alabama (SEC),1000.0
32308,jamison sears,Alabama,FX,,,,9.75,9.8,9.875,9.9,,9.83125,9.9,9.75,Alabama (SEC),5000.0
32308,jamison sears,Alabama,VT,,,,,,,9.825,9.65,9.7375,9.825,9.65,Alabama (SEC),4000.0
32926,paityn walker,Alabama,FX,,9.75,,,9.775,,,9.85,9.791666666666666,9.85,9.75,Alabama (SEC),1000.0
32926,paityn walker,Alabama,UB,,9.9,9.0,9.875,9.825,9.8,9.8,9.875,9.724999999999998,9.9,9.0,Alabama (SEC),1000.0
30817,elena deets,Arizona,BB,9.875,9.9,9.125,9.775,9.925,9.8,9.85,9.875,9.765625,9.925,9.125,Arizona (Big 12),4000.0
30817,elena deets,Arizona,UB,9.775,9.85,9.9,9.9,9.925,9.825,9.725,9.825,9.840625,9.925,9.725,Arizona (Big 12),4000.0
32315,sophie derr,Arizona,UB,9.8,9.75,9.725,9.75,9.875,9.9,9.75,9.75,9.787500000000001,9.9,9.725,Arizona (Big 12),2000.0
32315,sophie derr,Arizona,VT,9.65,9.8,9.75,9.825,9.775,,9.8,9.775,9.767857142857142,9.825,9.65,Arizona (Big 12),2000.0
31253,alysen fears,Arizona,BB,9.75,9.775,9.65,9.8,9.825,9.775,9.9,9.85,9.790625,9.9,9.65,Arizona (Big 12),2000.0
31253,alysen fears,Arizona,FX,9.65,9.225,9.775,9.7,9.9,9.85,9.875,9.825,9.725000000000001,9.9,9.225,Arizona (Big 12),2000.0
