GymnastID,Week,Event,Team,Score
30345,2,UB,Arkansas,9.8
30345,3,UB,Arkansas,9.8
30345,4,UB,Arkansas,9.85
30345,5,UB,Arkansas,9.25
30345,6,BB,Arkansas,9.175
30345,6,FX,Arkansas,9.925
30345,6,UB,Arkansas,9.95
30345,7,BB,Arkansas,9.9
30345,7,FX,Arkansas,9.9
30345,7,UB,Arkansas,9.9
30345,8,BB,Arkansas,9.85
30345,8,FX,Arkansas,9.85
30345,8,UB,Arkansas,9.75
30345,9,BB,Arkansas,9.875
30345,9,FX,Arkansas,9.925
30345,9,UB,Arkansas,9.875
30345,10,BB,Arkansas,9.925
30345,10,FX,Arkansas,9.95
30345,10,UB,Arkansas,9.925
30804,2,FX,Alabama,9.925
30804,3,BB,Alabama,9.275
30804,3,FX,Alabama,9.8
30804,4,BB,Alabama,9.875
30804,4,FX,Alabama,9.85
30804,4,VT,Alabama,9.8
30804,5,BB,Alabama,9.75
30804,5,FX,Alabama,9.85
30804,6,FX,Alabama,9.875
30804,6,VT,Alabama,9.75
30804,7,FX,Alabama,9.825
30804,7,UB,Alabama,9.8
30804,8,FX,Alabama,9.9
30804,8,UB,Alabama,9.9
30804,9,FX,Alabama,9.925
30804,9,UB,Alabama,9.95
30804,10,FX,Alabama,9.8875
30804,10,UB,Alabama,9.2625
30817,1,BB,Arizona,9.875
30817,1,UB,Arizona,9.775
30817,2,BB,Arizona,9.9
30817,2,UB,Arizona,9.85
30817,3,BB,Arizona,9.125
30817,3,UB,Arizona,9.9
30817,4,BB,Arizona,9.775
30817,4,UB,Arizona,9.9
30817,5,BB,Arizona,9.925
30817,5,UB,Arizona,9.925
30817,6,BB,Arizona,9.8
30817,6,UB,Arizona,9.825
30817,7,BB,Arizona,9.85
30817,7,UB,Arizona,9.725
30817,8,BB,Arizona,9.875
30817,8,UB,Arizona,9.825
30817,9,BB,Arizona,9.9
30817,9,UB,Arizona,9.775
30817,10,BB,Arizona,9.85
30817,10,UB,Arizona,9.9
30823,1,UB,Penn State,9.825
30823,2,UB,Penn State,9.725
30823,3,UB,Penn State,9.85
30823,4,UB,Penn State,9.85
30823,5,UB,Penn State,9.875
30823,6,UB,Penn State,9.725
30823,7,UB,Penn State,9.525
30823,8,UB,Penn State,9.875
30823,9,UB,Penn State,9.75
30823,10,UB,Penn State,9.875
30824,2,BB,Arizona State,9.7
30824,2,UB,Arizona State,9.8
30824,4,BB,Arizona State,9.8125
30824,4,FX,Arizona State,9.5625
30824,4,UB,Arizona State,9.8875
30824,5,BB,Arizona State,9.875
30824,5,FX,Arizona State,9.8
30824,5,UB,Arizona State,9.85
30824,6,BB,Arizona State,9.85
30824,6,FX,Arizona State,9.8
30824,6,UB,Arizona State,9.875
30824,7,BB,Arizona State,9.825
30824,7,FX,Arizona State,9.85
30824,7,UB,Arizona State,9.875
30824,8,BB,Arizona State,9.85
30824,8,FX,Arizona State,9.875
30824,8,UB,Arizona State,9.925
30824,9,BB,Arizona State,9.875
30824,9,FX,Arizona State,9.675
30824,9,UB,Arizona State,9.825
30824,10,BB,Arizona State,9.8
30824,10,FX,Arizona State,9.8
30824,10,UB,Arizona State,9.5
30826,4,UB,Arizona State,9.85
30826,4,VT,Arizona State,9.825
30826,5,UB,Arizona State,9.8
30826,5,VT,Arizona State,9.725
30826,6,UB,Arizona State,9.875
30826,6,VT,Arizona State,9.85
30826,7,UB,Arizona State,9.875
30826,7,VT,Arizona State,9.9
30826,8,UB,Arizona State,9.9
30826,8,VT,Arizona State,9.875
30826,9,UB,Arizona State,9.85
30826,9,VT,Arizona State,9.7
30826,10,BB,Arizona State,8.95
30826,10,FX,Arizona State,9.85
30826,10,UB,Arizona State,9.7
30826,10,VT,Arizona State,9.85
30828,2,VT,Georgia,9.8
30828,3,VT,Georgia,9.675
30828,4,VT,Georgia,9.875
30828,5,VT,Georgia,9.9
30828,6,VT,Georgia,9.9
30828,7,VT,Georgia,9.85
30828,8,VT,Georgia,9.75
30828,9,VT,Georgia,9.8
30828,10,VT,Georgia,9.85
30829,2,BB,Arizona State,9.875
30829,2,FX,Arizona State,9.75
30829,2,UB,Arizona State,9.825
30829,4,BB,Arizona State,9.8875
30829,4,FX,Arizona State,9.875
30829,4,UB,Arizona State,9.8625
30829,4,VT,Arizona State,9.825
30829,5,BB,Arizona State,9.875
30829,5,FX,Arizona State,9.925
30829,5,UB,Arizona State,9.8
30829,5,VT,Arizona State,9.625
30829,6,BB,Arizona State,9.875
30829,6,FX,Arizona State,9.875
30829,6,UB,Arizona State,9.875
30829,6,VT,Arizona State,9.775
30829,7,BB,Arizona State,9.875
30829,7,FX,Arizona State,9.925
30829,7,UB,Arizona State,9.85
30829,7,VT,Arizona State,9.725
30829,8,BB,Arizona State,9.825
30829,8,FX,Arizona State,9.95
30829,8,UB,Arizona State,9.95
30829,8,VT,Arizona State,9.85
30829,9,BB,Arizona State,9.875
30829,9,FX,Arizona State,9.9
30829,9,UB,Arizona State,9.775
30829,9,VT,Arizona State,9.825
30829,10,BB,Arizona State,9.875
30829,10,FX,Arizona State,9.9
30829,10,UB,Arizona State,9.875
30829,10,VT,Arizona State,9.775
30835,1,BB,Auburn,9.875
30835,1,FX,Auburn,9.5
30835,1,UB,Auburn,9.825
30835,2,BB,Auburn,9.8
30835,2,FX,Auburn,9.85
30835,2,UB,Auburn,9.75
30835,2,VT,Auburn,9.85
30835,4,BB,Auburn,9.825
30835,4,UB,Auburn,9.75
30835,5,FX,Auburn,4.4
30835,5,UB,Auburn,9.8
30836,1,BB,Auburn,9.75
30836,1,FX,Auburn,9.85
30836,2,BB,Auburn,9.825
30836,2,FX,Auburn,9.875
30836,3,BB,Auburn,9.85
30836,3,FX,Auburn,9.75
30836,4,BB,Auburn,9.9
30836,4,FX,Auburn,9.875
30836,5,BB,Auburn,9.875
30836,5,FX,Auburn,9.85
30836,6,BB,Auburn,9.8
30836,6,FX,Auburn,9.875
30836,7,BB,Auburn,9.925
30836,7,FX,Auburn,9.675
30836,8,BB,Auburn,9.85
30836,8,FX,Auburn,9.875
30836,9,BB,Auburn,9.925
30836,9,FX,Auburn,9.875
30836,10,BB,Auburn,9.975
30836,10,FX,Auburn,9.9
30841,6,VT,Ball State,9.875
30841,7,VT,Ball State,9.75
30841,8,VT,Ball State,9.8
30841,9,VT,Ball State,9.825
30841,10,VT,Ball State,9.925
30842,1,BB,Ball State,9.8
30842,1,FX,Ball State,9.775
30842,1,UB,Ball State,9.75
30842,1,VT,Ball State,9.75
30842,2,BB,Ball State,9.7
30842,2,FX,Ball State,9.85
30842,2,UB,Ball State,9.65
30842,2,VT,Ball State,9.8
30842,8,VT,Ball State,9.8
30842,9,UB,Ball State,9.825
30842,9,VT,Ball State,9.775
30842,10,UB,Ball State,9.775
30842,10,VT,Ball State,9.825
30846,2,BB,Boise State,9.85
30846,2,UB,Boise State,9.85
30846,2,VT,Boise State,9.8
30846,3,BB,Boise State,9.775
30846,3,UB,Boise State,9.875
30846,3,VT,Boise State,9.75
30846,4,BB,Boise State,9.8
30846,4,UB,Boise State,9.925
30846,4,VT,Boise State,9.8
30846,5,BB,Boise State,9.85
30846,5,UB,Boise State,9.8
30846,5,VT,Boise State,9.8
30846,6,BB,Boise State,9.875
30846,6,UB,Boise State,9.85
30846,6,VT,Boise State,9.8
30846,7,BB,Boise State,9.85
30846,7,UB,Boise State,9.95
30846,7,VT,Boise State,9.8
30846,8,BB,Boise State,9.375
30846,8,UB,Boise State,9.825
30846,8,VT,Boise State,9.8
30846,9,BB,Boise State,9.85
30846,9,UB,Boise State,9.925
30846,9,VT,Boise State,9.9
30846,10,BB,Boise State,9.9
30846,10,UB,Boise State,9.825
30846,10,VT,Boise State,9.675
30847,2,BB,Boise State,9.075
30847,6,VT,Boise State,9.65
30847,7,VT,Boise State,9.65
30847,8,VT,Boise State,9.65
30847,9,VT,Boise State,9.65
30856,1,BB,Nebraska,9.85
30856,1,FX,Nebraska,9.775
30856,1,UB,Nebraska,9.775
30856,1,VT,Nebraska,9.6
30856,2,BB,Nebraska,9.875
30856,2,FX,Nebraska,9.775
30856,2,UB,Nebraska,9.8
30856,2,VT,Nebraska,9.6
30856,3,BB,Nebraska,9.85
30856,3,FX,Nebraska,9.925
30856,3,UB,Nebraska,9.775
30856,3,VT,Nebraska,9.55
30856,4,BB,Nebraska,9.825
30856,4,FX,Nebraska,9.875
30856,4,UB,Nebraska,9.8
30856,4,VT,Nebraska,9.725
30856,5,BB,Nebraska,9.875
30856,5,FX,Nebraska,9.825
30856,5,UB,Nebraska,9.825
30856,5,VT,Nebraska,9.55
30856,6,BB,Nebraska,9.95
30856,6,FX,Nebraska,9.925
30856,6,UB,Nebraska,9.85
30856,6,VT,Nebraska,9.65
30856,7,BB,Nebraska,9.85
30856,7,FX,Nebraska,9.85
30856,7,UB,Nebraska,9.8
30856,7,VT,Nebraska,9.8
30856,8,BB,Nebraska,9.875
30856,8,FX,Nebraska,9.925
30856,8,UB,Nebraska,9.775
30856,8,VT,Nebraska,9.75
30856,9,BB,Nebraska,9.85
30856,9,FX,Nebraska,9.825
30856,9,UB,Nebraska,9.825
30856,9,VT,Nebraska,9.7
30856,10,BB,Nebraska,9.825
30856,10,FX,Nebraska,9.925
30856,10,UB,Nebraska,9.775
30856,10,VT,Nebraska,9.725
30860,1,UB,BYU,9.75
30860,2,UB,BYU,9.25
30860,3,UB,BYU,9.925
30860,4,UB,BYU,8.7875
30860,5,UB,BYU,9.825
30860,6,UB,BYU,9.7
30860,7,UB,BYU,9.9
30860,8,UB,BYU,9.825
30860,9,UB,BYU,9.9
30860,10,UB,BYU,9.8
30869,2,FX,Pittsburgh,9.775
30869,2,VT,Pittsburgh,9.85
30869,3,FX,Pittsburgh,9.65
30869,3,VT,Pittsburgh,9.825
30869,4,FX,Pittsburgh,9.75
30869,4,VT,Pittsburgh,9.875
30869,5,FX,Pittsburgh,8.975
30869,5,VT,Pittsburgh,9.825
30869,7,FX,Pittsburgh,9.775
30869,7,VT,Pittsburgh,9.85
30869,8,BB,Pittsburgh,9.85
30869,8,FX,Pittsburgh,9.675
30869,8,VT,Pittsburgh,9.775
30869,9,BB,Pittsburgh,9.9
30869,9,VT,Pittsburgh,9.75
30869,10,BB,Pittsburgh,9.7
30869,10,FX,Pittsburgh,9.875
30869,10,VT,Pittsburgh,9.825
30873,1,BB,Denver,9.0
30873,1,UB,Denver,9.875
30873,2,UB,Denver,9.825
30873,2,VT,Denver,9.85
30873,4,UB,Denver,9.7875
30873,4,VT,Denver,9.775
30873,5,UB,Denver,9.65
30873,5,VT,Denver,9.275
30873,6,UB,Denver,9.85
30873,6,VT,Denver,9.85
30873,7,UB,Denver,9.875
30873,7,VT,Denver,9.75
30873,8,UB,Denver,9.9
30873,8,VT,Denver,9.925
30873,9,UB,Denver,9.875
30873,9,VT,Denver,9.825
30873,10,UB,Denver,9.875
30873,10,VT,Denver,9.875
30875,1,BB,Denver,9.85
30875,1,FX,Denver,8.975
30875,1,VT,Denver,9.75
30875,2,BB,Denver,9.75
30875,2,FX,Denver,8.775
30875,2,VT,Denver,9.825
30875,4,BB,Denver,9.8
30875,4,VT,Denver,9.775
30875,5,BB,Denver,9.1
30875,5,FX,Denver,9.625
30875,5,VT,Denver,9.875
30875,6,BB,Denver,8.9
30875,6,VT,Denver,9.9
30875,7,FX,Denver,9.875
30875,7,VT,Denver,9.825
30875,8,FX,Denver,9.85
30875,8,VT,Denver,9.825
30875,9,FX,Denver,9.85
30875,9,VT,Denver,9.925
30875,10,BB,Denver,9.65
