GymnastID,Week,Date,MeetID,Event,Score,Name,Team
33320,2,2025-01-10,2025-01-10_Air Force,VT,9.825,Alyssa Bigler,Air Force
33320,3,2025-01-17,2025-01-17_Arizona,VT,9.125,Alyssa Bigler,Air Force
33320,4,2025-01-24,2025-01-24_Air Force,VT,9.925,Alyssa Bigler,Air Force
33320,5,2025-01-31,2025-01-31_Air Force,VT,9.875,Alyssa Bigler,Air Force
33320,6,2025-02-09,2025-02-09_Air Force,VT,9.775,Alyssa Bigler,Air Force
33320,10,2025-03-07,2025-03-07_Alabama,VT,9.825,Alyssa Bigler,Air Force
32180,2,2025-01-10,2025-01-10_Air Force,VT,9.65,Kylee Greene,Air Force
32180,3,2025-01-17,2025-01-17_Arizona,VT,9.675,Kylee Greene,Air Force
32180,4,2025-01-24,2025-01-24_Air Force,VT,9.725,Kylee Greene,Air Force
32180,5,2025-01-31,2025-01-31_Air Force,VT,9.8,Kylee Greene,Air Force
32180,6,2025-02-09,2025-02-09_Air Force,VT,9.625,Kylee Greene,Air Force
32180,9,2025-02-28,2025-02-28_Arkansas,VT,9.85,Kylee Greene,Air Force
32180,10,2025-03-07,2025-03-07_Alabama,VT,9.725,Kylee Greene,Air Force
32647,9,2025-02-28,2025-02-28_Arkansas,VT,9.725,Rosa Juarez Baez,Air Force
32647,10,2025-03-07,2025-03-07_Alabama,VT,9.575,Rosa Juarez Baez,Air Force
31659,4,2025-01-24,2025-01-24_Air Force,VT,9.65,Gabriella Meccia,Air Force
31659,6,2025-02-09,2025-02-09_Air Force,VT,9.675,Gabriella Meccia,Air Force
31659,9,2025-02-28,2025-02-28_Arkansas,VT,9.775,Gabriella Meccia,Air Force
31659,10,2025-03-07,2025-03-07_Alabama,VT,9.825,Gabriella Meccia,Air Force
32646,2,2025-01-10,2025-01-10_Air Force,VT,9.725,Olivia Raife,Air Force
32646,3,2025-01-17,2025-01-17_Arizona,VT,9.7,Olivia Raife,Air Force
32646,4,2025-01-24,2025-01-24_Air Force,VT,9.725,Olivia Raife,Air Force
32646,5,2025-01-31,2025-01-31_Air Force,VT,9.775,Olivia Raife,Air Force
32646,6,2025-02-09,2025-02-09_Air Force,VT,9.65,Olivia Raife,Air Force
32646,9,2025-02-28,2025-02-28_Arkansas,VT,9.725,Olivia Raife,Air Force
32646,10,2025-03-07,2025-03-07_Alabama,VT,9.75,Olivia Raife,Air Force
33329,2,2025-01-10,2025-01-10_Air Force,VT,9.675,Hailey Santana,Air Force
33329,3,2025-01-17,2025-01-17_Arizona,VT,9.625,Hailey Santana,Air Force
33329,5,2025-01-31,2025-01-31_Air Force,VT,9.7,Hailey Santana,Air Force
33329,6,2025-02-09,2025-02-09_Air Force,VT,9.6,Hailey Santana,Air Force
32645,2,2025-01-10,2025-01-10_Air Force,VT,9.725,Maggie Slife,Air Force
32645,3,2025-01-17,2025-01-17_Arizona,VT,9.8,Maggie Slife,Air Force
32645,4,2025-01-24,2025-01-24_Air Force,VT,9.8,Maggie Slife,Air Force
32645,5,2025-01-31,2025-01-31_Air Force,VT,9.9,Maggie Slife,Air Force
32645,6,2025-02-09,2025-02-09_Air Force,VT,9.675,Maggie Slife,Air Force
32645,9,2025-02-28,2025-02-28_Arkansas,VT,9.8,Maggie Slife,Air Force
32645,10,2025-03-07,2025-03-07_Alabama,VT,9.85,Maggie Slife,Air Force
32185,2,2025-01-10,2025-01-10_Air Force,VT,9.7,Sarah Willis,Air Force
32185,3,2025-01-17,2025-01-17_Arizona,VT,9.575,Sarah Willis,Air Force
32185,4,2025-01-24,2025-01-24_Air Force,VT,9.725,Sarah Willis,Air Force
32185,5,2025-01-31,2025-01-31_Air Force,VT,9.725,Sarah Willis,Air Force
32185,9,2025-02-28,2025-02-28_Arkansas,VT,9.475,Sarah Willis,Air Force
30804,4,2025-01-24,2025-01-24_Alabama,VT,9.8,Shania Adams,Alabama
30804,6,2025-02-07,2025-02-07_Alabama,VT,9.75,Shania Adams,Alabama
31245,2,2025-01-10,2025-01-10_Alabama,VT,9.425,Corinne Bunagan,Alabama
31245,3,2025-01-17,2025-01-17_Arizona,VT,9.85,Corinne Bunagan,Alabama
31245,4,2025-01-24,2025-01-24_Alabama,VT,9.6,Corinne Bunagan,Alabama
31245,5,2025-01-31,2025-01-31_Air Force,VT,9.825,Corinne Bunagan,Alabama
31245,6,2025-02-07,2025-02-07_Alabama,VT,9.925,Corinne Bunagan,Alabama
31245,7,2025-02-14,2025-02-14_Arizona,VT,9.9,Corinne Bunagan,Alabama
31245,8,2025-02-21,2025-02-21_Alabama,VT,9.575,Corinne Bunagan,Alabama
31245,9,2025-02-28,2025-02-28_Arkansas,VT,9.85,Corinne Bunagan,Alabama
31245,10,2025-03-07,2025-03-07_Alabama,VT,9.825,Corinne Bunagan,Alabama
31245,10,2025-03-09,2025-03-09_Denver,VT,9.8,Corinne Bunagan,Alabama
31794,2,2025-01-10,2025-01-10_Alabama,VT,9.725,Karis German,Alabama
31794,3,2025-01-17,2025-01-17_Arizona,VT,9.6,Karis German,Alabama
