GymnastID,Name,Team
33319,Anna Bacott,Air Force
33320,Alyssa Bigler,Air Force
32650,Chelsea Boyer,Air Force
31653,Velandra Brochi,Air Force
32180,Kylee Greene,Air Force
32181,Gabriella Hartley,Air Force
32647,Rosa Juarez Baez,Air Force
33324,Anna Kristianson,Air Force
32182,Gianna Martyna,Air Force
31658,Ayla McKean,Air Force
31659,Gabriella Meccia,Air Force
33326,Allie Misenheimer,Air Force
33327,Patience Miyashiro,Air Force
33328,Nhi Nguyen,Air Force
32646,Olivia Raife,Air Force
33329,Hailey Santana,Air Force
32645,Maggie Slife,Air Force
32185,Sarah Willis,Air Force
30804,Shania Adams,Alabama
31245,Corinne Bunagan,Alabama
32923,Ryan Fuller,Alabama
31794,Karis German,Alabama
31795,Gabby Gladieux,Alabama
31247,Lilly Hudson,Alabama
32924,Kylee Kvamme,Alabama
32306,Chloe LaCoursiere,Alabama
32307,Gabby Ladanyi,Alabama
31248,Jordyn Paradise,Alabama
32004,Natalia Pawlak,Alabama
31799,Rachel Rybicki,Alabama
32308,Jamison Sears,Alabama
32926,Paityn Walker,Alabama
30817,Elena Deets,Arizona
32315,Sophie Derr,Arizona
31253,Alysen Fears,Arizona
32935,Jessa Janicke,Arizona
32936,Aubrey Krohnfeldt,Arizona
31254,Elizabeth Larusso,Arizona
31807,Gianna Lenczner,Arizona
32319,Abigayle Martin,Arizona
31255,Emily Mueller,Arizona
32937,Amelia Rock,Arizona
31810,Emma Strom,Arizona
32320,Tirzah Wise,Arizona
31418,Jenna Blair,Arizona State
32940,Halle Braaflat,Arizona State
30824,Sarah Clark,Arizona State
32321,Halle Gregoire,Arizona State
31812,Isabella Kowan,Arizona State
31813,Kayla Lee,Arizona State
31814,Caroline Lichtman,Arizona State
30826,Jada Mangahas,Arizona State
32942,Tiara Platkin,Arizona State
32322,Lilia Purler,Arizona State
32323,Chloe Seaga,Arizona State
31815,Kimberly Smith,Arizona State
31257,Alex Theodorou,Arizona State
30829,Emily White,Arizona State
32947,Grace Dexler,Arkansas
32326,Dakota Essenpries,Arkansas
30902,Kaitlyn Ewald,Arkansas
31260,Kalyxta Gamiao,Arkansas
31262,Maddie Jones,Arkansas
32327,Hailey Klein,Arkansas
32944,Ja'Leigh Lang,Arkansas
32328,Priscilla Park,Arkansas
31259,Frankie Price,Arkansas
32945,Joscelyn Roberson,Arkansas
31261,Leah Smith,Arkansas
31822,Cally Swaney,Arkansas
30345,Mati Waligora,Arkansas
31258,Cami Weaver,Arkansas
31823,Lauren Williams,Arkansas
32949,Olivia Ahern,Auburn
32329,Bryn Bartman,Auburn
32950,Sophia Bell,Auburn
32330,Emma Grace Boyd,Auburn
31816,Olivia Greaves,Auburn
31265,Sophia Groth,Auburn
30835,Olivia Hollingsworth,Auburn
31266,Sara Hubbard,Auburn
32333,Julianne Huff,Auburn
32576,Alex Irvine,Auburn
32951,Katelyn Jong,Auburn
31268,Caroline Leonard,Auburn
30836,Gabby McLaughlin,Auburn
32952,Marissa Neal,Auburn
31684,Sydney Schumaker,Auburn
32335,Paige Zancan,Auburn
31333,Sarah Zois,Auburn
31269,Cai Afalla,Ball State
32243,Mary Rose Bellan,Ball State
32662,Lindsay Fuller,Ball State
32663,Lindsay Girard,Ball State
32954,Avery Kantor,Ball State
31299,Carissa Martinez,Ball State
32664,Delaney McMahon,Ball State
32956,Karli Mercer,Ball State
31827,Zoe Middleton,Ball State
32665,Ava Molina,Ball State
30841,Suki Pfister,Ball State
32957,Jordanna Phillis,Ball State
30842,Hannah Ruthberg,Ball State
31828,Alauna Simms,Ball State
31272,Grace Sumner,Ball State
32666,Ashley Szymanski,Ball State
32960,Noelle Ball,Boise State
32336,Carly Buell,Boise State
31833,Anna Ferguson,Boise State
32961,Bridget Kemp,Boise State
31835,Sydney Kho,Boise State
32337,Julia Kryzwanski,Boise State
31836,Sydney Leitch,Boise State
30846,Emily Lopez,Boise State
31273,Emma Loyim,Boise State
31274,Elaina McGovern,Boise State
31022,Julia Melchert,Boise State
30847,Dani Nakayma,Boise State
31275,Blake Pascal,Boise State
32963,Kristina Shchennikova,Boise State
32339,Victoria Smirnov,Boise State
31276,Alyssa Vulaj,Boise State
32340,Mahleea Werline,Boise State
32397,Alilah Alvarado,BYU
32399,Brynlee Andersen,BYU
30860,Anna Bramblett-Wilde,BYU
31578,Sophie Dudley,BYU
31855,Kylie Eaquinto,BYU
31857,Melissa Earl,BYU
32978,Addison Glazier,BYU
32402,Jadyn Harsh,BYU
32400,Chloee Hoke,BYU
32398,Ava Jorgensen,BYU
32404,Mya Kirkham,BYU
31581,Mina Margraf-Benson,BYU
31859,Olivia Matern,BYU
31583,Eliza Millar-Crossman,BYU
31584,Heidi Schooley-Meyers,BYU
32981,Deb Silva,BYU
33243,Ondine Achampong,California
31860,Miki Aderinto,California
31861,Casey Brown,California
31292,Ella Cesario,California
31862,eMjae Frazier,California
31293,Jordan Kane,California
33244,CJ Keuneke,California
31294,Mya Lauzon,California
32651,Kyen Mayhew,California
32652,Annalise Newman-Achee,California
31295,Abbey Scanlon,California
32298,Jayden Silvers,California
33246,Brianna Taurek,California
33247,Mya Wiley,California
31296,Madelyn Williams,California
32738,Molly Arnold,Clemson
32742,Takoda Berry,Clemson
32743,Trinity Brown,Clemson
32731,Kate Bryant,Clemson
32741,Sierra Church,Clemson
32727,Brie Clark,Clemson
32984,Hannah Clark,Clemson
32737,Maggie Holman,Clemson
32728,Eve Jackson,Clemson
32739,Quinn Kuhl,Clemson
32734,Lilly Lippeatt,Clemson
32732,Kielyn McCright,Clemson
32736,Madison Minner,Clemson
32985,Danika Nielsen,Clemson
32733,Lauren Rutherford,Clemson
32986,Tara Walsh,Clemson
32740,Rebecca Wells,Clemson
31871,Mila Brusch,Denver
30873,Rosie Casali,Denver
31872,Cecilia Cooley,Denver
32358,Ashley Gallen,Denver
32359,Amanda Hargraves,Denver
31317,Mia Hebinck,Denver
31318,Momoko Iwai,Denver
30875,Bella Mabanta,Denver
30876,Rylie Mundell,Denver
32360,Maddison Reidenbach,Denver
31874,Kiley Rorich,Denver
30877,Abbie Thompson,Denver
32361,Madison Ulrich,Denver
30994,Madison Benson,Fisk
32897,Allie Berkley,Fisk
31881,Zyia Coleman,Fisk
31882,Jordynn Cromartie,Fisk
32899,Kendall Guy,Fisk
31884,Kaylei McDonald,Fisk
32900,Laniyah Montgomery,Fisk
31885,Liberty Mora,Fisk
31678,Naimah Muhammad,Fisk
32703,Sophia Pratt,Fisk
31886,Morgan Price,Fisk
32704,Jada Reece,Fisk
31887,Aliyah Reed-Hammon,Fisk
31888,Kiara Richmon,Fisk
32705,Ciniah Rosby,Fisk
32706,Sydney Smith,Fisk
32901,Aiyana Thomas,Fisk
32412,Alyssa Arana,Florida
32994,Skye Blakely,Florida
31325,Sloane Blakely,Florida
31890,Lori Brubach,Florida
33385,Ly Bui,Florida
32996,Taylor Clark,Florida
32414,Gabby Disidore,Florida
32415,Skylar Draser,Florida
32416,Danie Ferris,Florida
32075,Selena Harris-Miranda,Florida
30885,Ellie Lazzari,Florida
31327,Riley McCusker,Florida
30893,Victoria Nguyen,Florida
32417,Anya Pilgrim,Florida
31328,Leanne Wong,Florida
31893,Kasey Burke,George Washington
32382,Alexa Chuy,George Washington
32365,Delaney DeHaan,George Washington
32364,Brooke Izzo,George Washington
31329,Rachel Katz,George Washington
31895,Kylie Kazmierski,George Washington
31896,Nancy Kiner,George Washington
31897,Madi McMullen,George Washington
32998,Lola Montevago,George Washington
32363,Maya Peters,George Washington
32999,Zoe Safran,George Washington
