GymnastID,HomeAway,Week,Date,MeetID,Event,Score
33319,H,2,2025-01-10,2025-01-10_Air Force,VT,
33319,A,3,2025-01-17,2025-01-17_Arizona,VT,
33319,H,5,2025-01-31,2025-01-31_Air Force,VT,
33319,A,5,2025-02-02,,VT,
33319,H,6,2025-02-09,2025-02-09_Air Force,VT,
33319,A,8,2025-02-23,,VT,
33319,A,9,2025-02-28,2025-02-28_Arkansas,VT,
33319,A,10,2025-03-07,2025-03-07_Alabama,VT,
33320,H,2,2025-01-10,2025-01-10_Air Force,VT,9.825
33320,A,3,2025-01-17,2025-01-17_Arizona,VT,9.125
33320,H,4,2025-01-24,2025-01-24_Air Force,VT,9.925
33320,H,5,2025-01-31,2025-01-31_Air Force,VT,9.875
33320,A,5,2025-02-02,,VT,9.05
33320,H,6,2025-02-09,2025-02-09_Air Force,VT,9.775
33320,A,9,2025-02-28,2025-02-28_Arkansas,VT,
33320,A,10,2025-03-07,2025-03-07_Alabama,VT,9.825
32650,H,2,2025-01-10,2025-01-10_Air Force,VT,
32650,A,3,2025-01-17,2025-01-17_Arizona,VT,
32650,H,4,2025-01-24,2025-01-24_Air Force,VT,
32650,H,5,2025-01-31,2025-01-31_Air Force,VT,
32650,A,5,2025-02-02,,VT,
32650,H,6,2025-02-09,2025-02-09_Air Force,VT,
32650,A,8,2025-02-23,,VT,
32650,A,9,2025-02-28,2025-02-28_Arkansas,VT,
32650,A,10,2025-03-07,2025-03-07_Alabama,VT,
31653,H,2,2025-01-10,2025-01-10_Air Force,VT,
31653,A,3,2025-01-17,2025-01-17_Arizona,VT,
31653,H,4,2025-01-24,2025-01-24_Air Force,VT,
31653,H,5,2025-01-31,2025-01-31_Air Force,VT,
31653,A,5,2025-02-02,,VT,
31653,H,6,2025-02-09,2025-02-09_Air Force,VT,
31653,A,8,2025-02-23,,VT,
31653,A,9,2025-02-28,2025-02-28_Arkansas,VT,
31653,A,10,2025-03-07,2025-03-07_Alabama,VT,
32180,H,2,2025-01-10,2025-01-10_Air Force,VT,9.65
32180,A,3,2025-01-17,2025-01-17_Arizona,VT,9.675
32180,H,4,2025-01-24,2025-01-24_Air Force,VT,9.725
32180,H,5,2025-01-31,2025-01-31_Air Force,VT,9.8
32180,A,5,2025-02-02,,VT,9.625
32180,H,6,2025-02-09,2025-02-09_Air Force,VT,9.625
32180,A,8,2025-02-23,,VT,9.775
32180,A,9,2025-02-28,2025-02-28_Arkansas,VT,9.85
32180,A,10,2025-03-07,2025-03-07_Alabama,VT,9.725
32181,H,2,2025-01-10,2025-01-10_Air Force,VT,
32181,H,4,2025-01-24,2025-01-24_Air Force,VT,
32181,A,8,2025-02-23,,VT,
32181,A,9,2025-02-28,2025-02-28_Arkansas,VT,
32181,A,10,2025-03-07,2025-03-07_Alabama,VT,
32647,A,9,2025-02-28,2025-02-28_Arkansas,VT,9.725
32647,A,10,2025-03-07,2025-03-07_Alabama,VT,9.575
33324,H,2,2025-01-10,2025-01-10_Air Force,VT,
33324,A,3,2025-01-17,2025-01-17_Arizona,VT,
33324,H,4,2025-01-24,2025-01-24_Air Force,VT,
33324,H,5,2025-01-31,2025-01-31_Air Force,VT,
33324,A,5,2025-02-02,,VT,
33324,A,8,2025-02-23,,VT,
32182,H,2,2025-01-10,2025-01-10_Air Force,VT,
32182,A,3,2025-01-17,2025-01-17_Arizona,VT,
32182,H,4,2025-01-24,2025-01-24_Air Force,VT,
32182,A,5,2025-02-02,,VT,
32182,A,8,2025-02-23,,VT,
31658,A,3,2025-01-17,2025-01-17_Arizona,VT,
31658,H,4,2025-01-24,2025-01-24_Air Force,VT,
31658,H,5,2025-01-31,2025-01-31_Air Force,VT,
31658,A,5,2025-02-02,,VT,
31658,H,6,2025-02-09,2025-02-09_Air Force,VT,
31659,H,2,2025-01-10,2025-01-10_Air Force,VT,
31659,A,3,2025-01-17,2025-01-17_Arizona,VT,
31659,H,4,2025-01-24,2025-01-24_Air Force,VT,9.65
31659,H,5,2025-01-31,2025-01-31_Air Force,VT,
31659,A,5,2025-02-02,,VT,
31659,H,6,2025-02-09,2025-02-09_Air Force,VT,9.675
31659,A,8,2025-02-23,,VT,9.55
31659,A,9,2025-02-28,2025-02-28_Arkansas,VT,9.775
31659,A,10,2025-03-07,2025-03-07_Alabama,VT,9.825
33326,H,2,2025-01-10,2025-01-10_Air Force,VT,
33326,A,3,2025-01-17,2025-01-17_Arizona,VT,
33326,H,5,2025-01-31,2025-01-31_Air Force,VT,
33326,A,5,2025-02-02,,VT,
33326,H,6,2025-02-09,2025-02-09_Air Force,VT,
33326,A,8,2025-02-23,,VT,
