Date,Opponent,VT,UB,BB,FX,AA,HomeAway,Team,GymnastID,Name,Week
2025-01-10,LIU,,,9.7,,,H,Air Force,33319,Anna Bacott,2
2025-01-17,Arizona,,,9.45,,,A,Air Force,33319,Anna Bacott,3
2025-01-31,"Hamline, San Jose State",,,9.875,,,H,Air Force,33319,Anna Bacott,5
2025-02-02,Texas Woman's,,,9.7,,,A,Air Force,33319,Anna Bacott,5
2025-02-09,"Boise State, Greenville",,,9.8,,,H,Air Force,33319,Anna Bacott,6
2025-01-10,LIU,9.825,9.425,9.575,9.45,38.275,H,Air Force,33320,Alyssa Bigler,2
2025-01-17,Arizona,9.125,9.775,9.525,9.775,38.2,A,Air Force,33320,Alyssa Bigler,3
2025-01-24,Utah State,9.925,9.85,9.75,9.775,39.3,H,Air Force,33320,Alyssa Bigler,4
2025-01-31,"Hamline, San Jose State",9.875,9.7,9.8,9.775,39.15,H,Air Force,33320,Alyssa Bigler,5
2025-02-02,Texas Woman's,9.05,9.725,9.65,,,A,Air Force,33320,Alyssa Bigler,5
2025-02-09,"Boise State, Greenville",9.775,9.325,9.75,9.225,38.075,H,Air Force,33320,Alyssa Bigler,6
2025-01-10,LIU,,9.55,,,,H,Air Force,32650,Chelsea Boyer,2
2025-01-17,Arizona,,9.625,,,,A,Air Force,32650,Chelsea Boyer,3
2025-01-24,Utah State,,9.65,,,,H,Air Force,32650,Chelsea Boyer,4
2025-01-31,"Hamline, San Jose State",,9.75,,,,H,Air Force,32650,Chelsea Boyer,5
2025-02-02,Texas Woman's,,9.625,,,,A,Air Force,32650,Chelsea Boyer,5
2025-02-09,"Boise State, Greenville",,9.025,,,,H,Air Force,32650,Chelsea Boyer,6
2025-01-10,LIU,,,9.625,,,H,Air Force,31653,Velandra Brochi,2
2025-01-17,Arizona,,,9.725,9.625,,A,Air Force,31653,Velandra Brochi,3
2025-01-24,Utah State,,,9.775,9.75,,H,Air Force,31653,Velandra Brochi,4
2025-01-31,"Hamline, San Jose State",,,9.775,9.4,,H,Air Force,31653,Velandra Brochi,5
2025-02-02,Texas Woman's,,,9.7,9.75,,A,Air Force,31653,Velandra Brochi,5
2025-02-09,"Boise State, Greenville",,9.55,9.75,9.7,,H,Air Force,31653,Velandra Brochi,6
2025-01-10,LIU,9.65,,9.85,9.45,,H,Air Force,32180,Kylee Greene,2
2025-01-17,Arizona,9.675,,9.625,,,A,Air Force,32180,Kylee Greene,3
2025-01-24,Utah State,9.725,,9.775,,,H,Air Force,32180,Kylee Greene,4
2025-01-31,"Hamline, San Jose State",9.8,,9.875,9.7,,H,Air Force,32180,Kylee Greene,5
2025-02-02,Texas Woman's,9.625,,9.675,9.725,,A,Air Force,32180,Kylee Greene,5
2025-02-09,"Boise State, Greenville",9.625,,9.775,9.825,,H,Air Force,32180,Kylee Greene,6
2025-01-10,LIU,,9.4,9.55,,,H,Air Force,32181,Gabriella Hartley,2
2025-01-24,Utah State,,9.65,9.7,,,H,Air Force,32181,Gabriella Hartley,4
2025-01-10,LIU,,9.6,,,,H,Air Force,33324,Anna Kristianson,2
2025-01-17,Arizona,,8.925,,,,A,Air Force,33324,Anna Kristianson,3
2025-01-24,Utah State,,9.8,,,,H,Air Force,33324,Anna Kristianson,4
2025-01-31,"Hamline, San Jose State",,9.825,,,,H,Air Force,33324,Anna Kristianson,5
2025-02-02,Texas Woman's,,9.25,,,,A,Air Force,33324,Anna Kristianson,5
2025-01-10,LIU,,,,9.6,,H,Air Force,32182,Gianna Martyna,2
2025-01-17,Arizona,,,,9.675,,A,Air Force,32182,Gianna Martyna,3
2025-01-24,Utah State,,,,9.5,,H,Air Force,32182,Gianna Martyna,4
2025-02-02,Texas Woman's,,,,9.725,,A,Air Force,32182,Gianna Martyna,5
2025-01-17,Arizona,,9.575,,,,A,Air Force,31658,Ayla McKean,3
2025-01-24,Utah State,,9.0,,,,H,Air Force,31658,Ayla McKean,4
2025-01-31,"Hamline, San Jose State",,9.65,,,,H,Air Force,31658,Ayla McKean,5
2025-02-02,Texas Woman's,,9.55,,,,A,Air Force,31658,Ayla McKean,5
2025-02-09,"Boise State, Greenville",,9.775,,,,H,Air Force,31658,Ayla McKean,6
2025-01-10,LIU,,,,9.675,,H,Air Force,31659,Gabriella Meccia,2
2025-01-17,Arizona,,,,9.775,,A,Air Force,31659,Gabriella Meccia,3
2025-01-24,Utah State,9.65,,,9.625,,H,Air Force,31659,Gabriella Meccia,4
2025-01-31,"Hamline, San Jose State",,,,9.8,,H,Air Force,31659,Gabriella Meccia,5
2025-02-02,Texas Woman's,,,,9.65,,A,Air Force,31659,Gabriella Meccia,5
2025-02-09,"Boise State, Greenville",9.675,,,9.85,,H,Air Force,31659,Gabriella Meccia,6
2025-01-10,LIU,,9.775,,,,H,Air Force,33326,Allie Misenheimer,2
2025-01-17,Arizona,,9.15,,,,A,Air Force,33326,Allie Misenheimer,3
2025-01-31,"Hamline, San Jose State",,9.65,,,,H,Air Force,33326,Allie Misenheimer,5
2025-02-02,Texas Woman's,,9.825,,,,A,Air Force,33326,Allie Misenheimer,5
2025-02-09,"Boise State, Greenville",,9.725,9.85,,,H,Air Force,33326,Allie Misenheimer,6
2025-01-17,Arizona,,,9.625,,,A,Air Force,33328,Nhi Nguyen,3
2025-01-24,Utah State,,,9.775,,,H,Air Force,33328,Nhi Nguyen,4
2025-01-31,"Hamline, San Jose State",,,9.65,,,H,Air Force,33328,Nhi Nguyen,5
2025-02-02,Texas Woman's,,,9.6,,,A,Air Force,33328,Nhi Nguyen,5
2025-01-10,LIU,9.725,,,,,H,Air Force,32646,Olivia Raife,2
2025-01-17,Arizona,9.7,,,,,A,Air Force,32646,Olivia Raife,3
2025-01-24,Utah State,9.725,,,,,H,Air Force,32646,Olivia Raife,4
2025-01-31,"Hamline, San Jose State",9.775,,,,,H,Air Force,32646,Olivia Raife,5
2025-02-02,Texas Woman's,9.7,,,,,A,Air Force,32646,Olivia Raife,5
2025-02-09,"Boise State, Greenville",9.65,,,,,H,Air Force,32646,Olivia Raife,6
2025-01-10,LIU,9.675,,,,,H,Air Force,33329,Hailey Santana,2
2025-01-17,Arizona,9.625,,,,,A,Air Force,33329,Hailey Santana,3
2025-01-31,"Hamline, San Jose State",9.7,,,,,H,Air Force,33329,Hailey Santana,5
2025-02-02,Texas Woman's,9.5,,,,,A,Air Force,33329,Hailey Santana,5
2025-02-09,"Boise State, Greenville",9.6,,,,,H,Air Force,33329,Hailey Santana,6
2025-01-10,LIU,9.725,9.825,9.775,9.85,39.175,H,Air Force,32645,Maggie Slife,2
2025-01-17,Arizona,9.8,9.85,9.725,9.9,39.275,A,Air Force,32645,Maggie Slife,3
2025-01-24,Utah State,9.8,9.825,9.85,9.9,39.375,H,Air Force,32645,Maggie Slife,4
2025-01-31,"Hamline, San Jose State",9.9,9.825,9.775,9.85,39.35,H,Air Force,32645,Maggie Slife,5
2025-02-02,Texas Woman's,9.85,9.825,9.675,9.85,39.2,A,Air Force,32645,Maggie Slife,5
2025-02-09,"Boise State, Greenville",9.675,9.925,9.7,9.925,39.225,H,Air Force,32645,Maggie Slife,6
2025-01-10,LIU,9.7,,,8.65,,H,Air Force,32185,Sarah Willis,2
2025-01-17,Arizona,9.575,,,9.75,,A,Air Force,32185,Sarah Willis,3
2025-01-24,Utah State,9.725,,,9.575,,H,Air Force,32185,Sarah Willis,4
2025-01-31,"Hamline, San Jose State",9.725,,,9.725,,H,Air Force,32185,Sarah Willis,5
2025-02-02,Texas Woman's,9.6,,,9.75,,A,Air Force,32185,Sarah Willis,5
2025-02-09,"Boise State, Greenville",,,,9.85,,H,Air Force,32185,Sarah Willis,6
2025-01-10,North Carolina,,,,9.925,,H,Alabama,30804,Shania Adams,2
2025-01-17,Kentucky,,,9.275,9.8,,A,Alabama,30804,Shania Adams,3
2025-01-24,Oklahoma,9.8,,9.875,9.85,,H,Alabama,30804,Shania Adams,4
2025-01-31,Georgia,,,9.75,9.85,,A,Alabama,30804,Shania Adams,5
2025-02-07,LSU,9.75,,,9.875,,H,Alabama,30804,Shania Adams,6
2025-01-10,North Carolina,9.425,,9.85,,,H,Alabama,31245,Corinne Bunagan,2
2025-01-17,Kentucky,9.85,,9.65,,,A,Alabama,31245,Corinne Bunagan,3
2025-01-24,Oklahoma,9.6,,9.825,,,H,Alabama,31245,Corinne Bunagan,4
2025-01-31,Georgia,9.825,,9.85,,,A,Alabama,31245,Corinne Bunagan,5
2025-02-07,LSU,9.925,,9.7,,,H,Alabama,31245,Corinne Bunagan,6
2025-01-10,North Carolina,,9.85,,9.75,,H,Alabama,32923,Ryan Fuller,2
2025-01-17,Kentucky,,9.925,,9.75,,A,Alabama,32923,Ryan Fuller,3
2025-01-24,Oklahoma,,9.8,,,,H,Alabama,32923,Ryan Fuller,4
2025-01-31,Georgia,,9.775,,,,A,Alabama,32923,Ryan Fuller,5
2025-02-07,LSU,,9.875,,,,H,Alabama,32923,Ryan Fuller,6
2025-01-10,North Carolina,9.725,,,,,H,Alabama,31794,Karis German,2
2025-01-17,Kentucky,9.6,,,9.675,,A,Alabama,31794,Karis German,3
2025-01-24,Oklahoma,9.775,,,,,H,Alabama,31794,Karis German,4
2025-01-31,Georgia,9.725,,,,,A,Alabama,31794,Karis German,5
2025-02-07,LSU,9.85,,,,,H,Alabama,31794,Karis German,6
2025-01-10,North Carolina,9.925,9.85,9.85,9.95,39.575,H,Alabama,31795,Gabby Gladieux,2
2025-01-17,Kentucky,9.8,9.825,9.9,9.9,39.425,A,Alabama,31795,Gabby Gladieux,3
2025-01-24,Oklahoma,9.875,9.775,9.8,9.95,39.4,H,Alabama,31795,Gabby Gladieux,4
2025-01-31,Georgia,9.85,9.85,9.625,9.9,39.225,A,Alabama,31795,Gabby Gladieux,5
2025-02-07,LSU,9.775,9.8,9.875,9.975,39.425,H,Alabama,31795,Gabby Gladieux,6
2025-01-10,North Carolina,9.875,9.875,9.9,9.9,39.55,H,Alabama,31247,Lilly Hudson,2
2025-01-17,Kentucky,9.925,9.8,9.85,9.875,39.45,A,Alabama,31247,Lilly Hudson,3
2025-01-24,Oklahoma,9.875,9.775,9.85,8.95,38.45,H,Alabama,31247,Lilly Hudson,4
2025-01-31,Georgia,9.85,9.85,9.775,9.875,39.35,A,Alabama,31247,Lilly Hudson,5
2025-02-07,LSU,9.875,9.9,9.9,9.9,39.575,H,Alabama,31247,Lilly Hudson,6
2025-01-10,North Carolina,9.775,,9.65,,,H,Alabama,32924,Kylee Kvamme,2
2025-01-17,Kentucky,9.9,,9.1,,,A,Alabama,32924,Kylee Kvamme,3
