GymnastID,Name,Event,Team,Week,Predicted_Score,Price
30345,Mati Waligora,BB,Arkansas,11,9.796918,4000.0
30345,Mati Waligora,FX,Arkansas,11,9.876143,5000.0
30345,Mati Waligora,UB,Arkansas,11,9.825793,4000.0
30804,Shania Adams,FX,Alabama,11,9.852154,4000.0
30804,Shania Adams,FX,Alabama,11,9.852154,4000.0
30804,Shania Adams,UB,Alabama,11,9.852154,5000.0
30804,Shania Adams,UB,Alabama,11,9.852154,5000.0
30817,Elena Deets,BB,Arizona,11,9.825793,4000.0
30817,Elena Deets,UB,Arizona,11,9.825113,4000.0
30823,Cassi Barbanente,UB,Penn State,11,9.769249,2000.0
30824,Sarah Clark,BB,Arizona State,11,9.811198,2000.0
30824,Sarah Clark,FX,Arizona State,11,9.769249,4000.0
30824,Sarah Clark,UB,Arizona State,11,9.852154,4000.0
30826,Jada Mangahas,UB,Arizona State,11,9.82126,5000.0
30826,Jada Mangahas,VT,Arizona State,11,9.804166,4000.0
30828,Anaya Smith,VT,Georgia,11,9.816729,4000.0
30829,Emily White,BB,Arizona State,11,9.837013,5000.0
30829,Emily White,FX,Arizona State,11,9.852154,5000.0
30829,Emily White,UB,Arizona State,11,9.826725,4000.0
30829,Emily White,VT,Arizona State,11,9.774211,3000.0
30836,Gabby McLaughlin,BB,Auburn,11,9.842314,4000.0
30836,Gabby McLaughlin,FX,Auburn,11,9.8199215,4000.0
30841,Suki Pfister,VT,Ball State,11,9.785049,6250.0
30846,Emily Lopez,BB,Boise State,11,9.767,4000.0
30846,Emily Lopez,UB,Boise State,11,9.852154,5000.0
30846,Emily Lopez,VT,Boise State,11,9.816546,2000.0
30856,Sophia McClelland,BB,Nebraska,11,9.852154,5000.0
30856,Sophia McClelland,FX,Nebraska,11,9.836401,5000.0
30856,Sophia McClelland,UB,Nebraska,11,9.785049,2000.0
30856,Sophia McClelland,VT,Nebraska,11,9.741472,1000.0
30873,Rosie Casali,UB,Denver,11,9.818221,2000.0
30873,Rosie Casali,VT,Denver,11,9.825793,1000.0
30875,Bella Mabanta,FX,Denver,11,9.76899,1000.0
30875,Bella Mabanta,VT,Denver,11,9.820277,4000.0
30876,Rylie Mundell,BB,Denver,11,9.752644,2000.0
30876,Rylie Mundell,UB,Denver,11,9.82126,5000.0
30877,Abbie Thompson,BB,Denver,11,9.776368,1000.0
30885,Ellie Lazzari,VT,Florida,11,9.802738,1000.0
30890,Kendall Whitman,BB,George Washington,11,9.769249,2000.0
30890,Kendall Whitman,BB,George Washington,11,9.772487,2000.0
30890,Kendall Whitman,FX,George Washington,11,9.817545,3000.0
30890,Kendall Whitman,FX,George Washington,11,9.816117,3000.0
30890,Kendall Whitman,VT,George Washington,11,9.756679,1000.0
30890,Kendall Whitman,VT,George Washington,11,9.756679,1000.0
30893,Victoria Nguyen,BB,Florida,11,9.852154,5000.0
30893,Victoria Nguyen,FX,Florida,11,9.831687,3000.0
30902,Kaitlyn Ewald,UB,Arkansas,11,9.811198,3000.0
30908,Adeline Kenlin,BB,Iowa,11,9.814238,6250.0
30921,Hailey Davis,FX,Kentucky,11,9.894358,6250.0
30921,Hailey Davis,UB,Kentucky,11,9.835534,2000.0
30922,Isabella Magnelli,BB,Kentucky,11,9.901265,6250.0
30922,Isabella Magnelli,FX,Kentucky,11,9.81641,3000.0
30922,Isabella Magnelli,VT,Kentucky,11,9.878316,6250.0
30948,Mara Titarsolej,UB,Missouri,11,9.894487,6250.0
30950,Sierra Ballard,BB,LSU,11,9.836742,4000.0
30950,Sierra Ballard,FX,LSU,11,9.84735,3000.0
30952,Haleigh Bryant,BB,LSU,11,9.84735,4000.0
30952,Haleigh Bryant,FX,LSU,11,9.895139,6250.0
30952,Haleigh Bryant,VT,LSU,11,9.899093,6250.0
30958,Alexa Rothenbuescher,BB,Maryland,11,9.768937,1000.0
30958,Alexa Rothenbuescher,BB,Maryland,11,9.768937,1000.0
30958,Alexa Rothenbuescher,FX,Maryland,11,9.767509,3000.0
30958,Alexa Rothenbuescher,FX,Maryland,11,9.777962,3000.0
30958,Alexa Rothenbuescher,UB,Maryland,11,9.686151,1000.0
30958,Alexa Rothenbuescher,UB,Maryland,11,9.687875,1000.0
30958,Alexa Rothenbuescher,VT,Maryland,11,9.752644,1000.0
30961,Carly Bauman,BB,Michigan,11,9.817545,5000.0
30961,Carly Bauman,FX,Michigan,11,9.876143,6250.0
30961,Carly Bauman,UB,Michigan,11,9.852154,6250.0
30964,Jenna Mulligan,BB,Michigan,11,9.794177,3000.0
30964,Jenna Mulligan,VT,Michigan,11,9.820154,4000.0
30968,Delanie Harkness,FX,Michigan State,11,9.818221,3000.0
30968,Delanie Harkness,UB,Michigan State,11,9.82126,4000.0
30970,Giana Kalefe,BB,Michigan State,11,9.817545,4000.0
30973,Mya Hooten,FX,Minnesota,11,9.892185,6250.0
30973,Mya Hooten,UB,Minnesota,11,9.833362,4000.0
30973,Mya Hooten,VT,Minnesota,11,9.852154,5000.0
30975,Emily Koch,BB,Minnesota,11,9.769249,2000.0
30975,Emily Koch,FX,Minnesota,11,9.837013,4000.0
30977,Kyra Burns,UB,Missouri,11,9.8146715,4000.0
31008,Jojo Warga,BB,Ohio State,11,9.741833,1000.0
31009,Audrey Davis,BB,Oklahoma,11,9.8665495,6250.0
31009,Audrey Davis,FX,Oklahoma,11,9.868828,5000.0
31009,Audrey Davis,UB,Oklahoma,11,9.908852,6250.0
31018,Jade Carey,BB,Oregon State,11,9.899093,6250.0
31018,Jade Carey,FX,Oregon State,11,9.895043,6250.0
31018,Jade Carey,UB,Oregon State,11,9.892185,6250.0
31018,Jade Carey,VT,Oregon State,11,9.852154,6250.0
31019,Sydney Gonzales,BB,Oregon State,11,9.785181,3000.0
31027,Maddie Johnston,BB,Penn State,11,9.774211,3000.0
31027,Maddie Johnston,UB,Penn State,11,9.785049,3000.0
31027,Maddie Johnston,VT,Penn State,11,9.818221,3000.0
31085,Chae Campbell,BB,UCLA,11,9.83771,5000.0
31085,Chae Campbell,UB,UCLA,11,9.794043,3000.0
31086,Frida Esparza,UB,UCLA,11,9.846827,6250.0
31087,Brooklyn Moors,BB,UCLA,11,9.80684,4000.0
31087,Brooklyn Moors,FX,UCLA,11,9.899093,6250.0
31087,Brooklyn Moors,VT,UCLA,11,9.805412,3000.0
31089,Jaylene Gilstrap,FX,Utah,11,9.845269,5000.0
31101,Skylar Killough-Wilhelm,BB,Kentucky,11,9.798959,4000.0
31101,Skylar Killough-Wilhelm,FX,Kentucky,11,9.810405,1000.0
31101,Skylar Killough-Wilhelm,UB,Kentucky,11,9.838573,4000.0
31101,Skylar Killough-Wilhelm,VT,Kentucky,11,9.838573,4000.0
31103,Taylor Russon,BB,Washington,11,9.811764,4000.0
31103,Taylor Russon,FX,Washington,11,9.754435,1000.0
31103,Taylor Russon,UB,Washington,11,9.816138,4000.0
31104,Lauren Thomas,BB,Iowa State,11,9.745542,3000.0
31104,Lauren Thomas,UB,Iowa State,11,9.745542,1000.0
31245,Corinne Bunagan,VT,Alabama,11,9.817545,2000.0
31245,Corinne Bunagan,VT,Alabama,11,9.816117,2000.0
31247,Lilly Hudson,BB,Alabama,11,9.794177,1000.0
31247,Lilly Hudson,BB,Alabama,11,9.816546,1000.0
31247,Lilly Hudson,FX,Alabama,11,9.835736,6250.0
31247,Lilly Hudson,FX,Alabama,11,9.837411,6250.0
31247,Lilly Hudson,UB,Alabama,11,9.802738,4000.0
31247,Lilly Hudson,UB,Alabama,11,9.82126,4000.0
31247,Lilly Hudson,VT,Alabama,11,9.852154,5000.0
31247,Lilly Hudson,VT,Alabama,11,9.852154,5000.0
31248,Jordyn Paradise,VT,Alabama,11,9.785049,3000.0
31248,Jordyn Paradise,VT,Alabama,11,9.795715,3000.0
31253,Alysen Fears,BB,Arizona,11,9.796786,2000.0
31253,Alysen Fears,FX,Arizona,11,9.792749,2000.0
31253,Alysen Fears,UB,Arizona,11,9.825113,5000.0
31253,Alysen Fears,VT,Arizona,11,9.769249,3000.0
31254,Elizabeth Larusso,FX,Arizona,11,9.774211,2000.0
31254,Elizabeth Larusso,VT,Arizona,11,9.769249,2000.0
31255,Emily Mueller,BB,Arizona,11,9.784006,4000.0
31255,Emily Mueller,FX,Arizona,11,9.796786,3000.0
31255,Emily Mueller,UB,Arizona,11,9.762165,2000.0
31255,Emily Mueller,VT,Arizona,11,9.758927,2000.0
31258,Cami Weaver,BB,Arkansas,11,9.767,3000.0
31258,Cami Weaver,VT,Arkansas,11,9.802738,4000.0
31259,Frankie Price,FX,Arkansas,11,9.876143,6250.0
31259,Frankie Price,VT,Arkansas,11,9.808232,2000.0
31260,Kalyxta Gamiao,BB,Arkansas,11,9.82126,4000.0
31260,Kalyxta Gamiao,FX,Arkansas,11,9.811198,3000.0
31262,Maddie Jones,FX,Arkansas,11,9.816117,4000.0
31262,Maddie Jones,UB,Arkansas,11,9.836401,4000.0
31265,Sophia Groth,BB,Auburn,11,9.8369465,4000.0
31265,Sophia Groth,FX,Auburn,11,9.858067,5000.0
31265,Sophia Groth,UB,Auburn,11,9.826944,3000.0
31266,Sara Hubbard,VT,Auburn,11,9.825289,4000.0
31292,Ella Cesario,BB,California,11,9.802738,3000.0
31292,Ella Cesario,FX,California,11,9.82806,5000.0
31292,Ella Cesario,UB,California,11,9.836401,4000.0
31292,Ella Cesario,VT,California,11,9.794177,2000.0
31294,Mya Lauzon,BB,California,11,9.846598,6250.0
31294,Mya Lauzon,FX,California,11,9.903558,6250.0
31294,Mya Lauzon,UB,California,11,9.856563,6250.0
31294,Mya Lauzon,VT,California,11,9.838547,5000.0
31295,Abbey Scanlon,BB,California,11,9.836401,1000.0
31296,Madelyn Williams,BB,California,11,9.852154,5000.0
31296,Madelyn Williams,FX,California,11,9.852154,5000.0
31296,Madelyn Williams,UB,California,11,9.852154,5000.0
31296,Madelyn Williams,VT,California,11,9.801064,3000.0
31317,Mia Hebinck,UB,Denver,11,9.808232,3000.0
31318,Momoko Iwai,BB,Denver,11,9.816117,4000.0
31327,Riley McCusker,UB,Florida,11,9.808232,3000.0
31328,Leanne Wong,BB,Florida,11,9.84069,4000.0
31328,Leanne Wong,FX,Florida,11,9.892185,6250.0
31328,Leanne Wong,UB,Florida,11,9.899093,6250.0
