GymnastID,Event,Home_Percent_1,Home_Percent_2,Home_Percent_3,Home_Percent_4,Home_Percent_5,Home_Percent_6,Home_Percent_7,Home_Percent_8,Home_Percent_9,Home_Percent_10,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,Score_10,Week_Weight_1,Week_Weight_2,Week_Weight_3,Week_Weight_4,Week_Weight_5,Week_Weight_6,Week_Weight_7,Week_Weight_8,Week_Weight_9,Week_Weight_10,home_avg,away_avg,home_count,away_count,home_away_diff,weight,homeaway_factor
30345,BB,,,,,,1.0,0.0,0.0,1.0,0.0,,,,,,9.171989233671612,9.9,9.85,9.871989233671611,9.925,,,,,,1.0,1.0,1.0,1.0,1.0,9.525,9.891666666666667,2,3,-0.36666666666666714,2,0.0030107663283892687
30345,FX,,,,,,1.0,0.0,0.0,1.0,0.0,,,,,,9.883328340595497,9.9,9.85,9.883328340595497,9.95,,,,,,1.0,1.0,1.0,1.0,1.0,9.925,9.9,2,3,0.025000000000000355,2,0.04167165940450266
30345,UB,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,9.8,9.8,9.823339694656488,9.25,9.923339694656487,9.9,9.75,9.848339694656488,9.925,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.891666666666666,9.737499999999999,3,6,0.15416666666666679,3,0.026660305343511402
30804,BB,,,0.0,1.0,0.0,,,,,,,,9.275,9.871989233671611,9.75,,,,,,,,1.0,1.0,1.0,,,,,,9.875,9.5125,1,2,0.3625000000000007,1,0.0030107663283892687
30804,FX,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,,9.883328340595497,9.8,9.808328340595496,9.85,9.833328340595497,9.825,9.858328340595497,9.925,9.866664170297748,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.8875,9.85,4,4,0.037499999999999645,4,0.04167165940450266
30804,UB,,,,,,,0.0,1.0,0.0,0.5,,,,,,,9.8,9.873339694656488,9.95,9.249169847328243,,,,,,,1.0,1.0,1.0,2.0,9.9,9.875,1,2,0.025000000000000355,1,0.026660305343511402
30804,VT,,,,1.0,,1.0,,,,,,,,9.793641046113102,,9.743641046113101,,,,,,,,1.0,,1.0,,,,,9.775,,2,0,,0,0.006358953886898356
30817,BB,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.875,9.9,9.121989233671611,9.775,9.921989233671612,9.8,9.84698923367161,9.875,9.9,9.84698923367161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.6875,9.854166666666666,4,6,-0.16666666666666607,4,0.0030107663283892687
30817,UB,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.775,9.85,9.873339694656488,9.9,9.898339694656489,9.825,9.698339694656488,9.825,9.775,9.873339694656488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.8625,9.825,4,6,0.03750000000000142,4,0.026660305343511402
30823,UB,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.798339694656487,9.725,9.85,9.823339694656488,9.848339694656488,9.725,9.525,9.848339694656488,9.75,9.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.85625,9.741666666666665,4,6,0.11458333333333393,4,0.026660305343511402
30824,BB,,0.0,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,,9.7,,9.810994616835805,9.875,9.84698923367161,9.82198923367161,9.84698923367161,9.875,9.8,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.841666666666667,9.8125,3,4,0.029166666666666785,3,0.0030107663283892687
30824,FX,,,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,,,,9.541664170297748,9.8,9.758328340595497,9.808328340595496,9.833328340595497,9.675,9.8,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.841666666666667,9.758333333333335,3,3,0.08333333333333215,3,0.04167165940450266
30824,UB,,0.0,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,,9.8,,9.874169847328243,9.85,9.848339694656488,9.848339694656488,9.898339694656489,9.825,9.5,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.891666666666667,9.743749999999999,3,4,0.14791666666666892,3,0.026660305343511402
30826,BB,,,,,,,,,,0.0,,,,,,,,,,8.95,,,,,,,,,,1.0,,8.95,0,1,,0,0.0030107663283892687
30826,FX,,,,,,,,,,0.0,,,,,,,,,,9.85,,,,,,,,,,1.0,,9.85,0,1,,0,0.04167165940450266
30826,UB,,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,9.823339694656488,9.8,9.848339694656488,9.848339694656488,9.873339694656488,9.85,9.7,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.875,9.783333333333333,4,3,0.09166666666666679,3,0.026660305343511402
30826,VT,,,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,,,,9.82182052305655,9.725,9.8436410461131,9.893641046113101,9.868641046113101,9.7,9.85,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.875,9.758333333333333,3,3,0.11666666666666714,3,0.006358953886898356
30828,VT,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,9.8,9.668641046113102,9.875,9.893641046113101,9.9,9.8436410461131,9.75,9.793641046113102,9.85,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.806250000000002,9.835,4,5,-0.02874999999999872,4,0.006358953886898356
30829,BB,,0.0,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,,9.875,,9.885994616835804,9.875,9.871989233671611,9.871989233671611,9.82198923367161,9.875,9.875,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.858333333333333,9.875,3,4,-0.016666666666667496,3,0.0030107663283892687
30829,FX,,0.0,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,,9.75,,9.854164170297748,9.925,9.833328340595497,9.883328340595497,9.908328340595496,9.9,9.9,,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.916666666666666,9.86875,3,4,0.04791666666666572,3,0.04167165940450266
