Player Name,Year,Team,Event,Price
Abbey Harris,Sophomore,Illinois State,AA,1500
Abbey Scanlon,Senior,California,AA,1500
Abbi Ryssman,Freshman,Utah,AA,1500
Abby Bednar,Sophomore,Michigan State,AA,1500
Abby Brushwood,Junior,Eastern Michigan,AA,1500
Abby Izaks,Sophomore,Central Michigan,AA,1500
Abby Scherban,Freshman,New Hampshire,AA,1500
Abby Steeley,Junior,Denver,AA,1500
Aberdeen O'Driscoll,Sophomore,Georgia,AA,1500
Abril Toscanini,Freshman,Rutgers,AA,1500
Adasyn Tackett,Freshman,NC State,AA,1500
Addi Doan,Freshman,Texas Woman's,AA,1500
Addi Watson,Freshman,Ohio State,AA,1500
Addie Hewitt,Senior,Denver,AA,1500
Addie Tandeski,Freshman,Bowling Green,AA,1500
Addilyn Glazier,Sophomore,BYU,AA,1500
Addison Bare,Freshman,Arkansas,AA,1500
Addison Fatta,Sophomore,Oklahoma,AA,7500
Addison Lawrence,Senior,Missouri,AA,1500
Addisyn Hofseth,Freshman,Kentucky,AA,1500
Addy Rothstein,Junior,Cornell,AA,1500
Addy Whiteside,Sophomore,Brown,AA,1500
Adele Ossi,Freshman,Arizona State,AA,1500
Adia Friesen,Junior,UC Davis,AA,1500
Adriana Consoli,Freshman,Auburn,AA,1500
Adriana Hoffman,Junior,Towson,AA,1500
Ady Wahl,Junior,Georgia,AA,1500
Adysen Mazzoni,Freshman,Eastern Michigan,AA,1500
Ahnna Kalmes,Freshman,Nebraska,AA,1500
Aine Reade,Sophomore,Maryland,AA,2000
Ainsley Greever,Junior,Arizona,AA,1500
Aislyn LaBadie,Senior,Ball State,AA,1500
Aiyana Thomas,Sophomore,Fisk,AA,1500
Alaina Reid,Sophomore,Texas Woman's,AA,1500
Alana Anderson,Senior,Northern Illinois,AA,1500
Alana Kim,Junior,UC Davis,AA,1500
Alana Walker,Sophomore,Stanford,AA,1500
Alauna Simms,Senior,Ball State,AA,1500
Ale Alvarez,Freshman,Iowa State,AA,1500
Alea Byrne,Senior,Illinois,AA,1500
Alessia Russo,Junior,Greenville,AA,1500
Alex Irvine,Junior,Auburn,AA,1500
Alex Routsis,Junior,Southern Utah,AA,1500
Alexa Chuy,Junior,George Washington,AA,1500
Alexa D'Andrea,Freshman,New Hampshire,AA,1500
Alexa Rose Pahila,Junior,Cortland State,AA,1500
Alexa Shields,Junior,Brown,AA,1500
Alexandra Karkowski,Freshman,Alaska,AA,1500
Alexandra Reddick,Freshman,Central Michigan,AA,1500
Alexandria Zambrano,Freshman,Penn State,AA,1500
Alexia Zakaryan,Freshman,George Washington,AA,1500
Alexis Czarrunchick,Sophomore,Maryland,AA,1500
Alexis Jeffrey,Fifth Year,LSU,AA,1500
Alianna Valdez,Freshman,Utah State,AA,1500
Alilah Alvarado,Junior,BYU,AA,1500
Alina Danlichenko,Junior,LIU,AA,1500
Alisha Werlen,Senior,Pennsylvania,AA,1500
Alisia Murray,Sophomore,Central Michigan,AA,1500
Alison Mun,Freshman,George Washington,AA,1500
Aliyah Kelly,Freshman,Northern Illinois,AA,1500
Aliyah Kelly,Freshman,Northern Illinois,AA,1500
Aliyah Reed-Hammon,Senior,Fisk,AA,1500
Allie Berkley,Senior,Fisk,AA,1500
Allie Call,Sophomore,Kent State,AA,1500
Allie Gard,Senior,Nebraska,AA,1500
Allie Misenheimer,Sophomore,Air Force,AA,1500
Allison Cucci,Freshman,Arkansas,AA,2000
Allison Kaempfer,Sophomore,Penn State,AA,1500
Ally Lau,Junior,Illinois State,AA,1500
Alyse Karenbauer,Junior,Iowa,AA,1500
Alyssa Arana,Junior,Florida,AA,1500
Alyssa Bigler,Sophomore,Air Force,AA,2000
Alyssa Fernandez,Junior,Southern Utah,AA,1500
Alyssa Kramer,Junior,Penn State,AA,1500
Alyssa Orgen,Sophomore,Kentucky,AA,1500
Alyssa Rosen,Senior,Pennsylvania,AA,1500
Alyssa Sciulli,Senior,Gustavus Adolphus,AA,1500
Amanda Hargraves,Senior,Denver,AA,1500
Amanda Scheuerman,Junior,Temple,AA,1500
Amane' Glenn,Sophomore,Texas Woman's,AA,1500
Amani Herring,Senior,Penn State,AA,1500
Amara Nelson,Junior,Greenville,AA,1500
Amari Drayton,Junior,LSU,AA,1500
Amari Evans,Fifth Year,Utah State,AA,1500
Amber Lowe,Junior,West Virginia,AA,1500
Amelia Budd,Sophomore,Temple,AA,1500
Amelia Disidore,Freshman,Florida,AA,1500
Amelia Lannon,Freshman,New Hampshire,AA,1500
Amelia Moneymaker,Senior,UC Davis,AA,2000
Amelia Rieder,Senior,Southern Utah,AA,1500
Amy Doyle,Sophomore,Michigan State,AA,1500
Amy Fukami,Sophomore,Michigan,AA,1500
Amy Hamilton,Junior,Cortland State,AA,1500
Amy Robins,Freshman,Western Michigan,AA,1500
Amy Wier,Senior,Missouri,AA,1500
Amy Wozniak,Senior,North Carolina,AA,1500
Ana Barbosu,Freshman,Stanford,AA,5000
Ana Kenefick,Fifth Year,Towson,AA,1500
Ana Padurariu,Senior,Utah,AA,1500
