Date,Opponent,VT,UB,BB,FX,AA,HomeAway,Team,GymnastID,Name
"Fri, Jan-09-2026",Winona State,,,9.3000,9.0000,,H,Air Force,33319,Anna Bacott
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",,,8.8500,9.7000,,A,Air Force,33319,Anna Bacott
"Fri, Jan-09-2026",Winona State,9.7750,9.8250,9.5250,9.8250,38.9500,H,Air Force,33320,Alyssa Bigler
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",9.8000,9.5250,9.8500,9.9000,39.0750,A,Air Force,33320,Alyssa Bigler
"Fri, Jan-09-2026",Winona State,,9.6750,,,,H,Air Force,32650,Chelsea Boyer
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",,9.5250,,,,A,Air Force,32650,Chelsea Boyer
"Fri, Jan-09-2026",Winona State,9.7750,9.8500,9.6500,9.7000,38.9750,H,Air Force,32180,Kylee Greene
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",9.8000,9.0000,9.4000,9.8000,38.0000,A,Air Force,32180,Kylee Greene
"Fri, Jan-09-2026",Winona State,9.7000,9.7750,9.7250,,,H,Air Force,32181,Gabriella Hartley
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",9.6000,9.8000,9.1500,9.7000,38.2500,A,Air Force,32181,Gabriella Hartley
"Fri, Jan-09-2026",Winona State,,8.5750,,,,H,Air Force,33324,Anna Kristianson
"Fri, Jan-09-2026",Winona State,,,,9.6250,,H,Air Force,33325,Elizabeth Lassila
"Fri, Jan-09-2026",Winona State,,,9.4750,,,H,Air Force,33741,Erin McDermott
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",,,9.5750,,,A,Air Force,33741,Erin McDermott
"Fri, Jan-09-2026",Winona State,9.6500,,,,,H,Air Force,32646,Olivia Raife
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",9.6500,,,,,A,Air Force,32646,Olivia Raife
"Fri, Jan-09-2026",Winona State,9.7750,9.9000,9.8750,9.8750,39.4250,H,Air Force,32645,Maggie Slife
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",9.9000,9.8750,9.7500,9.9000,39.4250,A,Air Force,32645,Maggie Slife
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",,9.7250,,,,A,Air Force,32644,Clara Wallace
"Fri, Jan-09-2026",Winona State,9.6250,,,9.7750,,H,Air Force,32185,Sarah Willis
"Sun, Jan-18-2026","Bridgeport, Iowa State, New Hampshire",9.6250,,,9.6750,,A,Air Force,32185,Sarah Willis
"Fri, Jan-09-2026",Clemson,9.9000,9.8000,9.9000,9.8750,39.4750,A,Alabama,33412,Jasmine Cawley
"Fri, Jan-16-2026",Florida,9.7750,,9.0750,9.8250,,A,Alabama,33412,Jasmine Cawley
"Fri, Jan-09-2026",Clemson,,9.8500,9.8000,,,A,Alabama,32923,Ryan Fuller
"Fri, Jan-16-2026",Florida,,9.8250,,,,A,Alabama,32923,Ryan Fuller
"Fri, Jan-09-2026",Clemson,9.8500,9.8500,9.8250,9.9000,39.4250,A,Alabama,31795,Gabby Gladieux
"Fri, Jan-16-2026",Florida,9.8750,9.8750,9.7000,9.8500,39.3000,A,Alabama,31795,Gabby Gladieux
"Fri, Jan-09-2026",Clemson,9.8000,,9.8500,,,A,Alabama,32924,Kylee Kvamme
"Fri, Jan-16-2026",Florida,9.8000,,9.9250,,,A,Alabama,32924,Kylee Kvamme
"Fri, Jan-09-2026",Clemson,,9.9250,9.9250,9.9000,,A,Alabama,32306,Chloe LaCoursiere
"Fri, Jan-16-2026",Florida,,9.9750,9.8750,9.8750,,A,Alabama,32306,Chloe LaCoursiere
"Fri, Jan-09-2026",Clemson,,,9.9250,,,A,Alabama,32307,Gabby Ladanyi
"Fri, Jan-16-2026",Florida,,,9.8500,,,A,Alabama,32307,Gabby Ladanyi
"Fri, Jan-09-2026",Clemson,,,,9.7750,,A,Alabama,33414,McKenzie Matters
"Fri, Jan-16-2026",Florida,,,,9.8250,,A,Alabama,33414,McKenzie Matters
"Fri, Jan-09-2026",Clemson,9.7750,,,,,A,Alabama,31248,Jordyn Paradise
"Fri, Jan-16-2026",Florida,9.8000,,,,,A,Alabama,31248,Jordyn Paradise
"Fri, Jan-09-2026",Clemson,,9.8250,,,,A,Alabama,32004,Natalia Pawlak
"Fri, Jan-16-2026",Florida,,9.8750,,,,A,Alabama,32004,Natalia Pawlak
"Fri, Jan-09-2026",Clemson,9.8750,9.9750,,9.8500,,A,Alabama,33415,Azaraya Ra-Akbar
"Fri, Jan-16-2026",Florida,9.9250,9.9500,9.8250,9.9000,39.6000,A,Alabama,33415,Azaraya Ra-Akbar
"Fri, Jan-09-2026",Clemson,9.7750,,,9.9000,,A,Alabama,32308,Jamison Sears
"Fri, Jan-16-2026",Florida,9.8000,,,9.9000,,A,Alabama,32308,Jamison Sears
"Fri, Jan-16-2026",Florida,,9.8750,,,,A,Alabama,32926,Paityn Walker
"Sun, Jan-11-2026",Sacramento State,9.3500,,,,,A,Alaska,32927,Maribelle Albert
"Sun, Jan-11-2026",Sacramento State,9.4750,,9.5500,9.6250,,A,Alaska,31801,Ariana DeSouza
"Sun, Jan-11-2026",Sacramento State,9.6250,9.4250,,9.6500,,A,Alaska,32376,Jamilia Duffus
"Sun, Jan-11-2026",Sacramento State,,9.3750,,9.5500,,A,Alaska,31802,Madelyn Gomez
"Sun, Jan-11-2026",Sacramento State,9.4750,,9.5000,8.7000,,A,Alaska,32929,Jordan Grindol
"Sun, Jan-11-2026",Sacramento State,,,9.5750,,,A,Alaska,33418,Alexandra Karkowski
"Sun, Jan-11-2026",Sacramento State,9.2250,9.6000,9.5250,9.6500,38.0000,A,Alaska,32311,Claudia Lessig
"Sun, Jan-11-2026",Sacramento State,,9.6250,,,,A,Alaska,32313,Jada Niles
"Sun, Jan-11-2026",Sacramento State,,8.7500,,,,A,Alaska,33420,Tessa Richardson
"Sun, Jan-11-2026",Sacramento State,,,8.7000,9.1500,,A,Alaska,31806,Breeann Spain
"Sun, Jan-11-2026",Sacramento State,,9.6750,,,,A,Alaska,32314,Avery Tillmanns
"Sun, Jan-11-2026",Sacramento State,9.6000,,9.0500,,,A,Alaska,32933,Verena Wong
"Fri, Jan-09-2026",Washington,,9.6250,,,,H,Arizona,33424,Riley Carman
"Fri, Jan-16-2026","Denver, Texas Woman's",,,,9.7000,,A,Arizona,33424,Riley Carman
"Fri, Jan-09-2026",Washington,9.7750,9.7000,,9.8500,,H,Arizona,32315,Sophie Derr
"Fri, Jan-16-2026","Denver, Texas Woman's",9.7250,9.1000,,,,A,Arizona,32315,Sophie Derr
"Fri, Jan-09-2026",Washington,9.8250,,,,,H,Arizona,32316,Ainsley Greever
"Fri, Jan-16-2026","Denver, Texas Woman's",9.5000,,,,,A,Arizona,32316,Ainsley Greever
"Fri, Jan-09-2026",Washington,9.7250,,,,,H,Arizona,32935,Jessa Janicke
"Fri, Jan-16-2026","Denver, Texas Woman's",9.8250,,,,,A,Arizona,32935,Jessa Janicke
"Fri, Jan-09-2026",Washington,,9.8500,9.6000,9.7250,,H,Arizona,32936,Aubrey Krohnfeldt
"Fri, Jan-16-2026","Denver, Texas Woman's",,9.8000,9.1000,,,A,Arizona,32936,Aubrey Krohnfeldt
"Fri, Jan-09-2026",Washington,9.7750,,,9.1250,,H,Arizona,31254,Elizabeth LaRusso
"Fri, Jan-16-2026","Denver, Texas Woman's",9.7250,,,9.7250,,A,Arizona,31254,Elizabeth LaRusso
"Fri, Jan-09-2026",Washington,,,9.8000,,,H,Arizona,31807,Gianna Lenczner
"Fri, Jan-16-2026","Denver, Texas Woman's",,,9.6500,,,A,Arizona,31807,Gianna Lenczner
"Fri, Jan-16-2026","Denver, Texas Woman's",,9.7250,,,,A,Arizona,32318,Sophia Maisel
