GymnastID,HomeAway,Week,Date,MeetID,Event,Score
33319,H,2,2026-01-09,2026-01-09_Air Force,VT,
33319,A,3,2026-01-18,2026-01-18_Arkansas,VT,
33320,H,2,2026-01-09,2026-01-09_Air Force,VT,9.775
33320,A,3,2026-01-18,2026-01-18_Arkansas,VT,9.8
32650,H,2,2026-01-09,2026-01-09_Air Force,VT,
32650,A,3,2026-01-18,2026-01-18_Arkansas,VT,
32180,H,2,2026-01-09,2026-01-09_Air Force,VT,9.775
32180,A,3,2026-01-18,2026-01-18_Arkansas,VT,9.8
32181,H,2,2026-01-09,2026-01-09_Air Force,VT,9.7
32181,A,3,2026-01-18,2026-01-18_Arkansas,VT,9.6
33324,H,2,2026-01-09,2026-01-09_Air Force,VT,
33325,H,2,2026-01-09,2026-01-09_Air Force,VT,
33741,H,2,2026-01-09,2026-01-09_Air Force,VT,
33741,A,3,2026-01-18,2026-01-18_Arkansas,VT,
32646,H,2,2026-01-09,2026-01-09_Air Force,VT,9.65
32646,A,3,2026-01-18,2026-01-18_Arkansas,VT,9.65
32645,H,2,2026-01-09,2026-01-09_Air Force,VT,9.775
32645,A,3,2026-01-18,2026-01-18_Arkansas,VT,9.9
32644,A,3,2026-01-18,2026-01-18_Arkansas,VT,
32185,H,2,2026-01-09,2026-01-09_Air Force,VT,9.625
32185,A,3,2026-01-18,2026-01-18_Arkansas,VT,9.625
33412,A,2,2026-01-09,2026-01-09_Air Force,VT,9.9
33412,A,3,2026-01-16,2026-01-16_BYU,VT,9.775
32923,A,2,2026-01-09,2026-01-09_Air Force,VT,
32923,A,3,2026-01-16,2026-01-16_BYU,VT,
31795,A,2,2026-01-09,2026-01-09_Air Force,VT,9.85
31795,A,3,2026-01-16,2026-01-16_BYU,VT,9.875
32924,A,2,2026-01-09,2026-01-09_Air Force,VT,9.8
32924,A,3,2026-01-16,2026-01-16_BYU,VT,9.8
32306,A,2,2026-01-09,2026-01-09_Air Force,VT,
32306,A,3,2026-01-16,2026-01-16_BYU,VT,
32307,A,2,2026-01-09,2026-01-09_Air Force,VT,
32307,A,3,2026-01-16,2026-01-16_BYU,VT,
33414,A,2,2026-01-09,2026-01-09_Air Force,VT,
33414,A,3,2026-01-16,2026-01-16_BYU,VT,
31248,A,2,2026-01-09,2026-01-09_Air Force,VT,9.775
31248,A,3,2026-01-16,2026-01-16_BYU,VT,9.8
32004,A,2,2026-01-09,2026-01-09_Air Force,VT,
32004,A,3,2026-01-16,2026-01-16_BYU,VT,
33415,A,2,2026-01-09,2026-01-09_Air Force,VT,9.875
33415,A,3,2026-01-16,2026-01-16_BYU,VT,9.925
32308,A,2,2026-01-09,2026-01-09_Air Force,VT,9.775
