Year,Event,homeaway_factor,total_weight,within_var
2022,AA,0.07294525939367816,7871.934881784881,0.14188032715347712
2023,AA,0.08132065747401343,8264.233788433789,0.10486552593489548
2024,AA,0.07760761841072471,8646.655435251025,0.10735495344162996
2025,AA,0.06641048988625108,4877.3715007215005,0.1103807645501704
2022,BB,0.01511819324488606,1969.4448051948052,0.03138574073084242
2023,BB,0.0251070292868296,2067.762137862138,0.02974093494794592
2024,BB,0.02335287609737146,2153.2408007025656,0.028012606804372515
2025,BB,0.0,1224.0002886002885,0.03110306288784674
2022,FX,0.04882274237786371,1959.7968087468087,0.0400315879952049
2023,FX,0.01704523553089432,2053.0948495948496,0.031175932067198486
2024,FX,0.019078078236763968,2162.824317839024,0.02978190877453225
2025,FX,0.03887872447371099,1212.9220779220777,0.03631291734160699
2022,UB,0.005421494235093074,1971.1049617049616,0.06079049033337259
2023,UB,0.03349298400137731,2074.964235764236,0.03523060345471655
2024,UB,0.022995649900199144,2171.364036943449,0.04258003042377106
2025,UB,0.019896163839161606,1223.3551226551226,0.03250752547635583
2022,VT,0.003582829535835313,1971.588306138306,0.009672508094057213
2023,VT,0.005675408654912205,2068.412565212565,0.00871805546503452
2024,VT,0.01218101417639013,2159.2262797659855,0.006980407438954135
2025,VT,0.007635601573378475,1217.0940115440117,0.01045725884436084
