Date,Opponent,VT,UB,BB,FX,AA,HomeAway,Team,GymnastID,Name
"Sun, Jan-23-2022",Centenary College,,9.1500,,,,A,Air Force,30177,Grace Bardes
"Fri, Jan-28-2022",Alaska,,9.5500,,,,H,Air Force,30177,Grace Bardes
"Sun, Jan-30-2022","Alaska, UC Davis",,9.5000,,,,H,Air Force,30177,Grace Bardes
"Fri, Feb-04-2022",Sacramento State,,9.6750,,,,A,Air Force,30177,Grace Bardes
"Fri, Feb-11-2022",San Jose State,,8.8750,,,,A,Air Force,30177,Grace Bardes
"Sun, Feb-20-2022","Alaska, Texas Woman's, UC Davis",,9.6500,,,,A,Air Force,30177,Grace Bardes
"Fri, Feb-25-2022",Sacramento State,,9.6250,,,,H,Air Force,30177,Grace Bardes
"Sun, Feb-27-2022",Denver,,9.6750,,,,A,Air Force,30177,Grace Bardes
"Fri, Mar-04-2022",San Jose State,,9.8000,,,,H,Air Force,30177,Grace Bardes
"Sun, Mar-06-2022","Oklahoma, S.E. Missouri, Texas Woman's",,9.7250,,,,A,Air Force,30177,Grace Bardes
"Fri, Mar-11-2022",Alaska,,9.5000,,,,A,Air Force,30177,Grace Bardes
"Sat, Mar-19-2022","Alaska, Sacramento State, San Jose State, UC Davis",,9.6000,,,,A,Air Force,30177,Grace Bardes
"Fri, Apr-08-2022",,,9.6000,,,,A,Air Force,30177,Grace Bardes
"Sat, Apr-09-2022",,,8.9000,,,,A,Air Force,30177,Grace Bardes
"Fri, Jan-14-2022",Utah State,9.5500,9.4250,,,,A,Air Force,31652,Amber Boll
"Sun, Jan-23-2022",Centenary College,9.6000,9.6250,,,,A,Air Force,31652,Amber Boll
"Fri, Jan-28-2022",Alaska,9.6500,9.8000,9.1250,,,H,Air Force,31652,Amber Boll
"Sun, Jan-30-2022","Alaska, UC Davis",9.3750,9.8750,,,,H,Air Force,31652,Amber Boll
"Fri, Feb-04-2022",Sacramento State,,9.6500,,,,A,Air Force,31652,Amber Boll
"Fri, Feb-11-2022",San Jose State,9.5000,9.8250,,,,A,Air Force,31652,Amber Boll
"Sun, Feb-20-2022","Alaska, Texas Woman's, UC Davis",9.7500,9.2250,9.2000,,,A,Air Force,31652,Amber Boll
"Fri, Feb-25-2022",Sacramento State,9.7250,9.7500,,,,H,Air Force,31652,Amber Boll
"Sun, Feb-27-2022",Denver,9.8000,9.7750,,,,A,Air Force,31652,Amber Boll
"Fri, Mar-04-2022",San Jose State,9.5750,9.8500,9.8250,,,H,Air Force,31652,Amber Boll
"Sun, Mar-06-2022","Oklahoma, S.E. Missouri, Texas Woman's",9.7750,9.7000,9.6750,,,A,Air Force,31652,Amber Boll
"Fri, Mar-11-2022",Alaska,9.7750,9.5500,9.5500,,,A,Air Force,31652,Amber Boll
"Fri, Apr-08-2022",,9.8000,9.7000,,,,A,Air Force,31652,Amber Boll
"Sat, Apr-09-2022",,9.7500,9.8000,,,,A,Air Force,31652,Amber Boll
"Sun, Apr-10-2022",,9.6000,,,,,A,Air Force,31652,Amber Boll
"Fri, Jan-14-2022",Utah State,9.5500,,9.1750,9.6750,,A,Air Force,31653,Velandra Brochi
"Sun, Jan-23-2022",Centenary College,9.7750,,9.4500,9.7250,,A,Air Force,31653,Velandra Brochi
"Fri, Jan-28-2022",Alaska,9.6500,,,9.6750,,H,Air Force,31653,Velandra Brochi
"Sun, Jan-30-2022","Alaska, UC Davis",9.6250,,9.6750,9.8750,,H,Air Force,31653,Velandra Brochi
"Fri, Feb-04-2022",Sacramento State,9.6750,,9.8000,9.7750,,A,Air Force,31653,Velandra Brochi
"Fri, Feb-11-2022",San Jose State,9.4250,9.2000,9.8500,9.6500,38.1250,A,Air Force,31653,Velandra Brochi
"Sun, Feb-20-2022","Alaska, Texas Woman's, UC Davis",9.6750,9.6000,9.7500,9.6250,38.6500,A,Air Force,31653,Velandra Brochi
"Fri, Feb-25-2022",Sacramento State,9.6500,9.7000,9.6500,,,H,Air Force,31653,Velandra Brochi
"Sun, Feb-27-2022",Denver,9.7500,9.6500,9.6750,9.7250,38.8000,A,Air Force,31653,Velandra Brochi
"Fri, Mar-04-2022",San Jose State,9.6250,9.7750,9.8000,9.7750,38.9750,H,Air Force,31653,Velandra Brochi
"Sun, Mar-06-2022","Oklahoma, S.E. Missouri, Texas Woman's",9.7750,9.8000,9.7500,9.6750,39.0000,A,Air Force,31653,Velandra Brochi
"Fri, Mar-11-2022",Alaska,9.7000,9.7750,9.7250,9.7000,38.9000,A,Air Force,31653,Velandra Brochi
"Sat, Mar-19-2022","Alaska, Sacramento State, San Jose State, UC Davis",9.6750,9.7000,9.6250,,,A,Air Force,31653,Velandra Brochi
"Fri, Apr-08-2022",,9.7250,9.6000,9.6500,9.8000,38.7750,A,Air Force,31653,Velandra Brochi
"Sat, Apr-09-2022",,9.7500,9.7500,9.7750,9.7500,39.0250,A,Air Force,31653,Velandra Brochi
"Fri, Jan-14-2022",Utah State,,,9.7000,,,A,Air Force,30178,Pixie Brock
"Fri, Jan-14-2022",Utah State,,,9.7500,,,A,Air Force,30582,Briona Carswell
"Fri, Jan-28-2022",Alaska,,,9.8000,,,H,Air Force,30582,Briona Carswell
"Sun, Jan-30-2022","Alaska, UC Davis",,,9.6750,9.9000,,H,Air Force,30582,Briona Carswell
"Fri, Feb-04-2022",Sacramento State,,,9.8500,9.6000,,A,Air Force,30582,Briona Carswell
