Player Name,Year,Team,Event,Price
Ana Bărbosu,Freshman,Stanford,AA,7500.0
Ella Zirbes,Junior,Utah,AA,7500.0
Faith Torrez,Senior,Oklahoma,AA,7500.0
Jordan Chiles,Senior,UCLA,AA,7500.0
Kailin Chio,Sophomore,LSU,AA,7500.0
Makenna Smith,Senior,Utah,AA,7500.0
Selena Harris-Miranda,Senior,Florida,AA,7500.0
Tiana Sumanasekera,Freshman,UCLA,AA,7500.0
Tonya Paulsson,Freshman,California,AA,7500.0
Addison Fatta,Sophomore,Oklahoma,AA,5000.0
Amelia Moneymaker,Senior,UC Davis,AA,5000.0
Anna Roberts,Senior,Stanford,AA,5000.0
Ashlee Sullivan,Freshman,UCLA,AA,5000.0
Avery Neff,Sophomore,Utah,AA,5000.0
Brooke Pierson,Freshman,Georgia,AA,5000.0
Charlotte Booth,Freshman,Auburn,AA,5000.0
Chloe Cho,Sophomore,Illinois,AA,5000.0
Emerson Fisk,Freshman,NC State,AA,5000.0
Gabby Gladieux,Senior,Alabama,AA,5000.0
Joscelyn Roberson,Sophomore,Arkansas,AA,5000.0
Katelyn Jong,Sophomore,Auburn,AA,5000.0
Katelyn Rosen,Junior,UCLA,AA,5000.0
Lily Pederson,Sophomore,Oklahoma,AA,5000.0
Mackenzie Estep,Freshman,Oklahoma,AA,5000.0
Madison Ulrich,Junior,LSU,AA,5000.0
Mika Webster-Longin,Sophomore,UCLA,AA,5000.0
Morgan Price,Senior,Arkansas,AA,5000.0
Nikki Smith,Senior,Michigan State,AA,5000.0
Tory Vetter,Senior,Ohio State,AA,5000.0
Zoe Middleton,Senior,Ball State,AA,5000.0
eMjae Frazier,Senior,Florida,AA,5000.0
Addison Bare,Freshman,Arkansas,AA,4000.0
Adele Ossi,Freshman,Arizona State,AA,4000.0
Aine Reade,Sophomore,Maryland,AA,4000.0
Ainsley Greever,Junior,Arizona,AA,4000.0
Alex Irvine,Junior,Auburn,AA,4000.0
Allison Cucci,Freshman,Arkansas,AA,4000.0
Alyssa Bigler,Sophomore,Air Force,AA,4000.0
Arianna Ostrum,Freshman,Minnesota,AA,4000.0
Aubrey Krohnfeldt,Sophomore,Arizona,AA,4000.0
Avalon Campbell,Freshman,Arkansas,AA,4000.0
Avery King,Freshman,Arkansas,AA,4000.0
Azaraya Ra-Akbar,Freshman,Alabama,AA,4000.0
Bailey Stroud,Freshman,Utah,AA,4000.0
Bradley Burton,Freshman,Arkansas,AA,4000.0
Brinlee Christensen,Junior,Southern Utah,AA,4000.0
Brynn Torry,Freshman,Auburn,AA,4000.0
Cally Swaney,Senior,Arkansas,AA,4000.0
Cami Weaver,Senior,Arkansas,AA,4000.0
Carmen Riley,Freshman,Arizona,AA,4000.0
Caroline Lichtman,Senior,Arizona State,AA,4000.0
Chloe LaCoursiere,Junior,Alabama,AA,4000.0
Corinne Bunagan,Fifth Year,Alabama,AA,4000.0
Delaney Adrian,Sophomore,Rutgers,AA,4000.0
Delaney DeHaan,Junior,George Washington,AA,4000.0
Delanie Kelly,Freshman,Arizona State,AA,4000.0
Delaynee Rodriguez,Junior,Kentucky,AA,4000.0
Derin Tanriyasükür,Freshman,Alabama,AA,4000.0
Devyn Valuch,Junior,San Jose State,AA,4000.0
Elizabeth LaRusso,Senior,Arizona,AA,4000.0
Elizabeth Leary,Sophomore,Penn State,AA,4000.0
Ella Cesario,Fifth Year,Clemson,AA,4000.0
Elle Bragga,Freshman,Arizona,AA,4000.0
Emma Wehry,Junior,Auburn,AA,4000.0
Frankie Price,Senior,Arkansas,AA,4000.0
Gabby Ladanyi,Junior,Alabama,AA,4000.0
Grace Drexler,Sophomore,Arkansas,AA,4000.0
Hailey Klein,Junior,Arkansas,AA,4000.0
Halle Braaflat,Sophomore,Arizona State,AA,4000.0
Halle Gregoire,Junior,Arizona State,AA,4000.0
Isabella Kowan,Senior,Arizona State,AA,4000.0
Isabella Minervini,Junior,Towson,AA,4000.0
Jamison Sears,Junior,Alabama,AA,4000.0
Jasmine Cawley,Freshman,Alabama,AA,4000.0
Ja’Leigh Lang,Sophomore,Arkansas,AA,4000.0
Jenna Timmons,Sophomore,Arizona State,AA,4000.0
Jersie Woolsey,Junior,Auburn,AA,4000.0
Jessa Janicke,Sophomore,Arizona,AA,4000.0
Jessica Rosenberg,Freshman,Arizona State,AA,4000.0
Jordyn Paradise,Fifth Year,Alabama,AA,4000.0
Julianna Weeks,Sophomore,Arkansas,AA,4000.0
Julianne Huff,Junior,Auburn,AA,4000.0
Kamila Pawlak,Freshman,Oklahoma,AA,4000.0
Karis German,Senior,Alabama,AA,4000.0
Kaydence Lockhart,Freshman,Arizona State,AA,4000.0
Kayla Lee,Senior,Arizona State,AA,4000.0
Kayla Smith,Freshman,West Virginia,AA,4000.0
Kimberly Smith,Senior,Arizona State,AA,4000.0
Kinlee Bare,Freshman,Ball State,AA,4000.0
Kylee Bromley,Freshman,Arizona State,AA,4000.0
Kylee Kvamme,Sophomore,Alabama,AA,4000.0
Lauren Williams,Junior,Arkansas,AA,4000.0
Leah Smith,Fifth Year,Arkansas,AA,4000.0
"Lenczner, Gianna",Senior,Arizona,AA,4000.0
Lilia Purler,Junior,Arizona State,AA,4000.0
Love Birt,Sophomore,Alabama,AA,4000.0
Luciana Alvarado-Reid,Senior,Central Michigan,AA,4000.0
Macy McGowan,Sophomore,UCLA,AA,4000.0
Madison Gustitus,Sophomore,Arkansas,AA,4000.0
Maggie Slife,Junior,Air Force,AA,4000.0
"Maisel, Sophia",Junior,Arizona,AA,4000.0
Marissa Lassiter,Senior,Pennsylvania,AA,4000.0
Marissa Neal,Sophomore,Auburn,AA,4000.0
